station,status,rows,date_min,date_max
32586,"fetch_error: ValueError('Weather station with ID ""32586"" could not be found')",0,,
20674,ok,4016,2013-01-01,2023-12-31
20891,ok,3761,2013-01-01,2023-12-31
21946,ok,3859,2013-01-01,2023-12-31
21982,ok,3796,2013-01-01,2023-12-31
22113,ok,4017,2013-01-01,2023-12-31
22217,ok,3852,2013-01-01,2023-12-31
22550,ok,3954,2013-01-01,2023-12-31
22583,ok,3522,2013-01-01,2023-12-31
22602,ok,3878,2013-01-01,2023-12-31
22641,ok,3449,2013-01-01,2023-12-31
22802,ok,4017,2013-01-01,2023-12-31
22820,ok,3839,2013-01-01,2023-12-31
22837,ok,3806,2013-01-01,2023-12-31
22887,ok,3879,2013-01-01,2023-12-31
23205,ok,3246,2013-01-01,2023-12-31
23324,ok,3766,2013-01-01,2023-12-31
23405,ok,3814,2013-01-01,2023-12-31
23418,ok,3896,2013-01-01,2023-12-31
23472,ok,4017,2013-01-01,2023-12-31
23631,ok,4016,2013-01-01,2023-12-31
23711,ok,3186,2013-01-01,2023-12-31
23724,ok,3164,2013-01-01,2023-12-31
23804,ok,3944,2013-01-01,2023-12-31
23884,ok,3988,2013-01-01,2023-12-31
23891,ok,3789,2013-01-01,2023-12-31
23921,ok,3094,2013-01-01,2023-12-31
23933,ok,4017,2013-01-01,2023-12-31
23955,ok,3900,2013-01-01,2023-12-31
24125,ok,3488,2013-01-01,2023-12-31
24266,ok,4017,2013-01-01,2023-12-31
24343,ok,3723,2013-01-01,2023-12-31
24507,ok,3964,2013-01-01,2023-12-31
24641,ok,3723,2013-01-01,2023-12-31
24688,ok,4017,2013-01-01,2023-12-31
24738,ok,3691,2013-01-01,2023-12-31
24817,ok,3840,2013-01-01,2023-12-31
24908,ok,3931,2013-01-01,2023-12-31
24944,ok,3960,2013-01-01,2023-12-31
24951,ok,3912,2013-01-01,2023-12-31
24959,ok,4014,2013-01-01,2023-12-31
24966,ok,4014,2013-01-01,2023-12-31
25551,ok,3886,2013-01-01,2023-12-31
25563,ok,4017,2013-01-01,2023-12-31
25703,ok,3933,2013-01-01,2023-12-31
25913,ok,4017,2013-01-01,2023-12-31
26063,ok,4017,2013-01-01,2023-12-31
26258,ok,3853,2013-01-01,2023-12-31
26477,ok,3948,2013-01-01,2023-12-31
27037,ok,3834,2013-01-01,2023-12-31
27199,ok,3998,2013-01-01,2023-12-31
27333,ok,2853,2013-01-01,2023-12-31
27459,ok,4017,2013-01-01,2023-12-31
27595,ok,4009,2013-01-01,2023-12-31
27612,ok,3180,2013-01-01,2023-12-31
27648,ok,2766,2013-01-01,2023-12-31
27823,ok,2729,2013-01-01,2023-12-31
27947,ok,687,2013-01-01,2022-06-30
28064,ok,3920,2013-01-01,2023-12-31
28138,ok,3108,2013-01-01,2023-12-31
28224,ok,3328,2013-01-01,2023-12-31
28275,ok,3542,2013-01-01,2023-12-31
28411,ok,657,2013-01-01,2022-06-30
28434,ok,3101,2013-01-01,2023-12-31
28440,ok,4017,2013-01-01,2023-12-31
28493,ok,3159,2013-01-01,2023-12-31
28661,ok,3259,2013-01-01,2023-12-31
28698,ok,3984,2013-01-01,2023-12-31
28722,ok,4016,2013-01-01,2023-12-31
28900,ok,3932,2013-01-01,2023-12-31
29231,ok,3918,2013-01-01,2023-12-31
29263,ok,3779,2013-01-01,2023-12-31
29282,ok,3933,2013-01-01,2023-12-31
29430,ok,1836,2013-01-01,2023-12-31
29570,ok,2916,2013-01-01,2023-12-31
29612,ok,3820,2013-01-01,2023-12-31
29698,ok,3930,2013-01-01,2023-12-31
29838,ok,4017,2013-01-01,2023-12-31
29866,ok,3720,2013-01-01,2023-12-31
30054,ok,3834,2013-01-01,2023-12-31
30230,ok,3713,2013-01-01,2023-12-31
30252,ok,3859,2013-01-01,2023-12-31
30372,ok,3943,2013-01-01,2023-12-31
30393,ok,3945,2013-01-01,2023-12-31
30521,ok,4010,2013-01-01,2023-12-31
30555,ok,360,2013-01-01,2022-04-01
30636,ok,3672,2013-01-01,2023-12-31
30673,ok,3930,2013-01-01,2023-12-31
30710,ok,4017,2013-01-01,2023-12-31
30758,ok,4017,2013-01-01,2023-12-31
30777,ok,3935,2013-01-01,2023-12-31
30823,ok,3983,2013-01-01,2023-12-31
30925,ok,3862,2013-01-01,2023-12-31
30949,ok,3902,2013-01-01,2023-12-31
30965,ok,3973,2013-01-01,2023-12-31
31004,ok,3883,2013-01-01,2023-12-31
31088,ok,4016,2013-01-01,2023-12-31
31168,ok,3917,2013-01-01,2023-12-31
31253,ok,3854,2013-01-01,2023-12-31
31329,ok,3760,2013-01-01,2023-12-31
31369,ok,3945,2013-01-01,2023-12-31
31388,ok,3761,2013-01-01,2023-12-31
31416,ok,3971,2013-01-01,2023-12-31
31510,ok,4015,2013-01-01,2023-12-31
31532,ok,3975,2013-01-01,2023-12-31
31594,ok,3966,2013-01-01,2023-12-31
31707,ok,3829,2013-01-01,2023-12-31
31873,ok,3661,2013-01-01,2023-12-31
31909,ok,3657,2013-01-01,2023-12-31
31915,ok,3983,2013-01-01,2023-12-31
31960,ok,4017,2013-01-01,2023-12-31
32061,ok,3957,2013-01-01,2023-12-31
32098,ok,3955,2013-01-01,2023-12-31
32165,ok,3893,2013-01-01,2023-12-31
32389,ok,3401,2013-01-01,2023-12-31
32411,ok,3176,2013-01-01,2023-12-31
33008,ok,3510,2013-01-01,2023-12-31
34009,ok,687,2013-01-01,2022-06-30
34123,ok,4016,2013-01-01,2023-12-31
34139,ok,539,2013-01-01,2022-06-30
34163,ok,3320,2013-01-01,2023-12-31
34172,ok,3268,2013-01-01,2023-12-31
34391,ok,2708,2013-01-01,2023-12-31
34646,ok,687,2013-01-01,2022-06-30
34824,ok,2720,2013-01-01,2023-12-31
34861,ok,3571,2013-01-01,2023-12-31
34880,ok,3277,2013-01-01,2023-12-31
35121,ok,4017,2013-01-01,2023-12-31
36034,ok,3972,2013-01-01,2023-12-31
37031,ok,2848,2013-01-01,2023-12-31
37099,ok,539,2013-01-01,2022-06-30
37235,ok,2430,2013-01-01,2023-12-31
37472,ok,2509,2013-01-01,2023-12-31
