Date,station,T_rp5
2013-01-01,20674,-25.0
2013-01-02,20674,-25.8
2013-01-03,20674,-22.9
2013-01-04,20674,-22.9
2013-01-05,20674,-25.2
2013-01-06,20674,-25.2
2013-01-07,20674,-22.9
2013-01-08,20674,-23.6
2013-01-09,20674,-26.1
2013-01-10,20674,-16.7
2013-01-11,20674,-21.4
2013-01-12,20674,-20.2
2013-01-13,20674,-21.0
2013-01-14,20674,-26.9
2013-01-15,20674,-24.0
2013-01-16,20674,-28.2
2013-01-17,20674,-30.2
2013-01-18,20674,-29.3
2013-01-19,20674,-31.3
2013-01-20,20674,-31.1
2013-01-21,20674,-27.1
2013-01-22,20674,-21.7
2013-01-23,20674,-28.7
2013-01-24,20674,-29.6
2013-01-25,20674,-23.1
2013-01-26,20674,-25.8
2013-01-27,20674,-27.8
2013-01-28,20674,-29.9
2013-01-29,20674,-33.4
2013-01-30,20674,-32.3
2013-01-31,20674,-33.4
2013-02-01,20674,-31.3
2013-02-02,20674,-24.2
2013-02-03,20674,-21.0
2013-02-04,20674,-18.2
2013-02-05,20674,-17.2
2013-02-06,20674,-16.1
2013-02-07,20674,-19.8
2013-02-08,20674,-17.3
2013-02-09,20674,-18.5
2013-02-10,20674,-20.1
2013-02-11,20674,-14.7
2013-02-12,20674,-9.2
2013-02-13,20674,-19.0
2013-02-14,20674,-26.3
2013-02-15,20674,-29.3
2013-02-16,20674,-20.9
2013-02-17,20674,-12.6
2013-02-18,20674,-17.3
2013-02-19,20674,-24.7
2013-02-20,20674,-25.4
2013-02-21,20674,-30.5
2013-02-22,20674,-25.0
2013-02-23,20674,-24.6
2013-02-24,20674,-29.3
2013-02-25,20674,-31.0
2013-02-26,20674,-31.9
2013-02-27,20674,-34.9
2013-02-28,20674,-34.8
2013-03-01,20674,-26.3
2013-03-02,20674,-24.9
2013-03-03,20674,-32.5
2013-03-04,20674,-33.4
2013-03-05,20674,-34.2
2013-03-06,20674,-37.4
2013-03-07,20674,-35.0
2013-03-08,20674,-34.5
2013-03-09,20674,-35.6
2013-03-10,20674,-34.6
2013-03-11,20674,-34.8
2013-03-12,20674,-34.0
2013-03-13,20674,-30.6
2013-03-14,20674,-33.2
2013-03-15,20674,-34.5
2013-03-16,20674,-32.5
2013-03-17,20674,-30.2
2013-03-18,20674,-25.1
2013-03-19,20674,-24.3
2013-03-20,20674,-26.8
2013-03-21,20674,-21.5
2013-03-22,20674,-31.1
2013-03-23,20674,-29.2
2013-03-24,20674,-26.8
2013-03-25,20674,-21.4
2013-03-26,20674,-19.1
2013-03-27,20674,-22.8
2013-03-28,20674,-25.5
2013-03-29,20674,-19.7
2013-03-30,20674,-15.8
2013-03-31,20674,-10.4
2013-04-01,20674,-21.4
2013-04-02,20674,-24.5
2013-04-03,20674,-23.6
2013-04-04,20674,-22.9
2013-04-05,20674,-23.6
2013-04-06,20674,-22.7
2013-04-07,20674,-18.2
2013-04-08,20674,-15.0
2013-04-09,20674,-13.8
2013-04-10,20674,-12.3
2013-04-11,20674,-15.0
2013-04-12,20674,-17.1
2013-04-13,20674,-15.6
2013-04-14,20674,-19.4
2013-04-15,20674,-14.6
2013-04-16,20674,-7.4
2013-04-17,20674,-11.1
2013-04-18,20674,-11.4
2013-04-19,20674,-9.5
2013-04-20,20674,-4.8
2013-04-21,20674,-4.3
2013-04-22,20674,-9.3
2013-04-23,20674,-9.2
2013-04-24,20674,-14.5
2013-04-25,20674,-12.3
2013-04-26,20674,-13.3
2013-04-27,20674,-13.1
2013-04-28,20674,-12.3
2013-04-29,20674,-12.3
2013-04-30,20674,-13.1
2013-05-01,20674,-9.3
2013-05-02,20674,-7.1
2013-05-03,20674,-4.9
2013-05-04,20674,-5.0
2013-05-05,20674,-7.2
2013-05-06,20674,-7.8
2013-05-07,20674,-6.5
2013-05-08,20674,-7.0
2013-05-09,20674,-10.4
2013-05-10,20674,-4.7
2013-05-11,20674,-2.5
2013-05-12,20674,-2.1
2013-05-13,20674,-3.0
2013-05-14,20674,-6.8
2013-05-15,20674,-7.2
2013-05-16,20674,-3.1
2013-05-17,20674,-4.3
2013-05-18,20674,-4.7
2013-05-19,20674,-7.2
2013-05-20,20674,-6.2
2013-05-21,20674,-2.9
2013-05-22,20674,-3.1
2013-05-23,20674,-6.0
2013-05-24,20674,-5.8
2013-05-25,20674,-5.3
2013-05-26,20674,-1.5
2013-05-27,20674,-3.8
2013-05-28,20674,-4.0
2013-05-29,20674,-3.5
2013-05-30,20674,-3.2
2013-05-31,20674,-3.2
2013-06-01,20674,-3.7
2013-06-02,20674,-2.5
2013-06-03,20674,-1.2
2013-06-04,20674,-1.1
2013-06-05,20674,-1.4
2013-06-06,20674,-1.1
2013-06-07,20674,0.2
2013-06-08,20674,0.2
2013-06-09,20674,-1.6
2013-06-10,20674,-0.6
2013-06-11,20674,-0.4
2013-06-12,20674,-0.3
2013-06-13,20674,-1.1
2013-06-14,20674,-1.2
2013-06-15,20674,0.7
2013-06-16,20674,3.8
2013-06-17,20674,-0.1
2013-06-18,20674,0.1
2013-06-19,20674,2.2
2013-06-20,20674,0.0
2013-06-21,20674,1.2
2013-06-22,20674,2.7
2013-06-23,20674,2.4
2013-06-24,20674,5.8
2013-06-25,20674,2.0
2013-06-26,20674,1.8
2013-06-27,20674,1.6
2013-06-28,20674,0.8
2013-06-29,20674,-0.2
2013-06-30,20674,1.6
2013-07-01,20674,1.6
2013-07-02,20674,4.1
2013-07-03,20674,4.4
2013-07-04,20674,1.1
2013-07-05,20674,4.6
2013-07-06,20674,5.9
2013-07-07,20674,1.0
2013-07-08,20674,0.8
2013-07-09,20674,2.8
2013-07-10,20674,6.0
2013-07-11,20674,11.2
2013-07-12,20674,9.4
2013-07-13,20674,8.2
2013-07-14,20674,3.3
2013-07-15,20674,6.5
2013-07-16,20674,8.4
2013-07-17,20674,9.2
2013-07-18,20674,15.1
2013-07-19,20674,14.6
2013-07-20,20674,11.8
2013-07-21,20674,18.7
2013-07-22,20674,18.7
2013-07-23,20674,19.2
2013-07-24,20674,9.1
2013-07-25,20674,7.2
2013-07-26,20674,9.1
2013-07-27,20674,5.8
2013-07-28,20674,2.1
2013-07-29,20674,1.0
2013-07-30,20674,0.7
2013-07-31,20674,1.8
2013-08-01,20674,3.1
2013-08-02,20674,3.8
2013-08-03,20674,9.8
2013-08-04,20674,12.3
2013-08-05,20674,8.3
2013-08-06,20674,6.6
2013-08-07,20674,8.5
2013-08-08,20674,6.2
2013-08-09,20674,10.8
2013-08-10,20674,7.2
2013-08-11,20674,4.2
2013-08-12,20674,7.8
2013-08-13,20674,8.7
2013-08-14,20674,9.3
2013-08-15,20674,5.9
2013-08-16,20674,5.8
2013-08-17,20674,5.5
2013-08-18,20674,5.6
2013-08-19,20674,5.3
2013-08-20,20674,5.2
2013-08-21,20674,4.9
2013-08-22,20674,4.4
2013-08-23,20674,4.1
2013-08-24,20674,6.7
2013-08-25,20674,5.2
2013-08-26,20674,4.4
2013-08-27,20674,4.8
2013-08-28,20674,5.4
2013-08-29,20674,5.2
2013-08-30,20674,5.2
2013-08-31,20674,6.7
2013-09-01,20674,5.9
2013-09-02,20674,6.4
2013-09-03,20674,6.2
2013-09-04,20674,5.6
2013-09-05,20674,5.7
2013-09-06,20674,5.3
2013-09-07,20674,4.3
2013-09-08,20674,4.4
2013-09-09,20674,3.3
2013-09-10,20674,2.3
2013-09-11,20674,1.9
2013-09-12,20674,0.8
2013-09-13,20674,0.8
2013-09-14,20674,2.5
2013-09-15,20674,1.6
2013-09-16,20674,1.8
2013-09-17,20674,2.1
2013-09-18,20674,3.2
2013-09-19,20674,2.5
2013-09-20,20674,-1.4
2013-09-21,20674,0.4
2013-09-22,20674,0.2
2013-09-23,20674,-2.1
2013-09-24,20674,-0.6
2013-09-25,20674,0.2
2013-09-26,20674,0.4
2013-09-27,20674,0.1
2013-09-28,20674,-2.2
2013-09-29,20674,-0.4
2013-09-30,20674,0.1
2013-10-01,20674,-0.2
2013-10-02,20674,-1.8
2013-10-03,20674,-1.2
2013-10-04,20674,-0.3
2013-10-05,20674,-0.2
2013-10-06,20674,-1.4
2013-10-07,20674,-2.6
2013-10-08,20674,-6.9
2013-10-09,20674,-6.1
2013-10-10,20674,-3.2
2013-10-11,20674,-4.0
2013-10-12,20674,-5.6
2013-10-13,20674,-4.1
2013-10-14,20674,-7.9
2013-10-15,20674,-8.8
2013-10-16,20674,-7.5
2013-10-17,20674,-7.1
2013-10-18,20674,-5.4
2013-10-19,20674,-5.3
2013-10-20,20674,-7.1
2013-10-21,20674,-4.7
2013-10-22,20674,-7.5
2013-10-23,20674,-9.9
2013-10-24,20674,-10.6
2013-10-25,20674,-9.3
2013-10-26,20674,-8.8
2013-10-27,20674,-8.2
2013-10-28,20674,-10.2
2013-10-29,20674,-12.3
2013-10-30,20674,-16.8
2013-10-31,20674,-14.9
2013-11-01,20674,-15.8
2013-11-02,20674,-22.5
2013-11-03,20674,-23.6
2013-11-04,20674,-21.8
2013-11-05,20674,-19.2
2013-11-06,20674,-16.2
2013-11-07,20674,-15.6
2013-11-08,20674,-6.9
2013-11-09,20674,-9.6
2013-11-10,20674,-6.7
2013-11-11,20674,-14.2
2013-11-12,20674,-16.2
2013-11-13,20674,-18.0
2013-11-14,20674,-23.8
2013-11-15,20674,-16.6
2013-11-16,20674,-13.3
2013-11-17,20674,-19.3
2013-11-18,20674,-20.0
2013-11-19,20674,-16.8
2013-11-20,20674,-19.6
2013-11-21,20674,-20.1
2013-11-22,20674,-18.4
2013-11-23,20674,-19.8
2013-11-24,20674,-18.7
2013-11-25,20674,-8.4
2013-11-26,20674,-9.4
2013-11-27,20674,-14.7
2013-11-28,20674,-17.6
2013-11-29,20674,-22.3
2013-11-30,20674,-19.5
2013-12-01,20674,-24.2
2013-12-02,20674,-22.8
2013-12-03,20674,-20.8
2013-12-04,20674,-17.8
2013-12-05,20674,-16.3
2013-12-06,20674,-15.4
2013-12-07,20674,-18.2
2013-12-08,20674,-15.1
2013-12-09,20674,-19.5
2013-12-10,20674,-19.9
2013-12-11,20674,-20.3
2013-12-12,20674,-19.4
2013-12-13,20674,-23.4
2013-12-14,20674,-19.2
2013-12-15,20674,-22.1
2013-12-16,20674,-23.1
2013-12-17,20674,-21.9
2013-12-18,20674,-16.2
2013-12-19,20674,-22.5
2013-12-20,20674,-22.4
2013-12-21,20674,-23.3
2013-12-22,20674,-26.4
2013-12-23,20674,-29.1
2013-12-24,20674,-27.8
2013-12-25,20674,-27.9
2013-12-26,20674,-26.5
2013-12-27,20674,-32.1
2013-12-28,20674,-30.2
2013-12-29,20674,-31.3
2013-12-30,20674,-32.1
2013-12-31,20674,-31.8
2014-01-01,20674,-27.6
2014-01-02,20674,-22.8
2014-01-03,20674,-23.6
2014-01-04,20674,-28.9
2014-01-05,20674,-30.7
2014-01-06,20674,-32.5
2014-01-07,20674,-35.1
2014-01-08,20674,-32.6
2014-01-09,20674,-33.2
2014-01-10,20674,-31.1
2014-01-11,20674,-28.4
2014-01-12,20674,-34.9
2014-01-13,20674,-35.4
2014-01-14,20674,-34.1
2014-01-15,20674,-28.0
2014-01-16,20674,-26.8
2014-01-17,20674,-22.9
2014-01-18,20674,-23.4
2014-01-19,20674,-26.8
2014-01-20,20674,-26.6
2014-01-21,20674,-28.8
2014-01-22,20674,-30.8
2014-01-23,20674,-32.5
2014-01-24,20674,-33.7
2014-01-25,20674,-28.5
2014-01-26,20674,-24.8
2014-01-27,20674,-35.2
2014-01-28,20674,-20.8
2014-01-29,20674,-24.9
2014-01-30,20674,-37.4
2014-01-31,20674,-25.8
2014-02-01,20674,-12.9
2014-02-02,20674,-7.9
2014-02-03,20674,-8.9
2014-02-04,20674,-16.0
2014-02-05,20674,-21.6
2014-02-06,20674,-16.9
2014-02-07,20674,-14.4
2014-02-08,20674,-20.4
2014-02-09,20674,-29.2
2014-02-10,20674,-26.0
2014-02-11,20674,-27.9
2014-02-12,20674,-28.4
2014-02-13,20674,-29.4
2014-02-14,20674,-24.9
2014-02-15,20674,-27.1
2014-02-16,20674,-28.3
2014-02-17,20674,-35.7
2014-02-18,20674,-24.1
2014-02-19,20674,-32.2
2014-02-20,20674,-33.7
2014-02-21,20674,-37.9
2014-02-22,20674,-29.5
2014-02-23,20674,-17.8
2014-02-24,20674,-19.3
2014-02-25,20674,-27.4
2014-02-26,20674,-27.5
2014-02-27,20674,-24.5
2014-02-28,20674,-25.8
2014-03-01,20674,-19.9
2014-03-02,20674,-15.3
2014-03-03,20674,-16.9
2014-03-04,20674,-19.6
2014-03-05,20674,-20.7
2014-03-06,20674,-20.5
2014-03-07,20674,-22.3
2014-03-08,20674,-18.8
2014-03-09,20674,-15.1
2014-03-10,20674,-11.3
2014-03-11,20674,-5.6
2014-03-12,20674,-8.2
2014-03-13,20674,-17.2
2014-03-14,20674,-11.4
2014-03-15,20674,-8.6
2014-03-16,20674,-19.8
2014-03-17,20674,-15.1
2014-03-18,20674,-7.6
2014-03-19,20674,-6.1
2014-03-20,20674,-3.1
2014-03-21,20674,-6.6
