station,overlap_rows,overlap_years,date_min,date_max,baseline_mae,baseline_rmse,baseline_bias,exact_equal_ratio,abs_delta_median,abs_delta_max
22113,4017,11,2013-01-01,2023-12-31,1.105277570326114,1.942826691677861,-0.8310928553647,0.10007468259895444,0.5,13.399999999999999
22802,4017,11,2013-01-01,2023-12-31,0.3393079412496888,0.47330531776407186,-0.0045307443365695844,0.1361712720936022,0.20000000000000284,5.399999999999999
23472,4017,11,2013-01-01,2023-12-31,1.430893701767488,2.0281139523297385,0.0026636793627085294,0.06696539706248444,1.0,10.899999999999999
23933,4017,11,2013-01-01,2023-12-31,0.9472989793378143,1.3210716374772324,0.1990291262135922,0.08090614886731391,0.6999999999999993,7.699999999999999
24688,4017,11,2013-01-01,2023-12-31,1.6586507343788897,2.2834218695641377,-0.07234254418720436,0.05128205128205128,1.1999999999999997,13.700000000000001
25563,4017,11,2013-01-01,2023-12-31,2.046825989544436,2.8963554309123998,0.42113517550410756,0.024645257654966394,1.5,19.3
25913,4017,11,2013-01-01,2023-12-31,3.249813293502614,4.847099279100729,-2.0330346029375157,0.05302464525765497,1.9000000000000004,19.500000000000004
26063,4017,11,2013-01-01,2023-12-31,0.6228528752800597,0.830034296300221,-0.476723923325865,0.07169529499626587,0.5,5.4
27459,4017,11,2013-01-01,2023-12-31,0.8677371172516803,1.1764884057576812,0.0785411999004232,0.07667413492656211,0.6999999999999993,5.6000000000000005
28440,4017,11,2013-01-01,2023-12-31,1.0354991287030122,1.5196202505068692,-0.5741598207617625,0.08040826487428429,0.7000000000000002,10.000000000000002
29838,4017,11,2013-01-01,2023-12-31,1.479462285287528,2.0409121440879043,0.2985810306198656,0.06372915110779188,1.0999999999999996,11.5
30710,4017,11,2013-01-01,2023-12-31,1.336370425690814,1.8238046443170146,-0.7435897435897436,0.05003734129947722,1.0,9.7
