year,R2,RMSE,MAE,MedAE
2013,0.9714861769548707,2.0051905542545363,1.4980167061941965,1.1434587478637699
2014,0.9864381285283026,1.51911948098352,0.854073345703155,0.5577671051025392
2015,0.9854298965213805,1.456468999682366,0.8465918116466872,0.5431717395782474
2016,0.9903842070953852,1.2252347986832781,0.7305109519683038,0.4821882724761961
2017,0.9907191200837724,1.1021683975528496,0.7088973419633631,0.5081273078918453
2018,0.9925356165724935,1.160996418410617,0.7436176548918633,0.5366947174072267
2019,0.9904181145577226,1.152011944001991,0.7412036207370795,0.5181868553161619
2020,0.9884430432052993,1.1985426638868109,0.7242698721919183,0.5041594982147211
2021,0.991507651797725,1.2345743852844009,0.7503186551092189,0.5232524394989007
2022,0.9876670243755934,1.2642580702592268,0.8255032466115784,0.5832233428955078
2023,0.9859581587443796,1.3925491001665695,0.8708139646869817,0.591486930847168
