group,n,R2,RMSE,MAE,MedAE
1,4774,0.9815566304241528,0.9311944606176544,0.35413098686851113,0.08512206077575613
2,4340,0.9879429534129011,0.7014028867046829,0.30349100652378275,0.11833086013793936
3,4774,0.986698650875798,0.6438646154234915,0.312584261900219,0.1264322280883789
4,4620,0.9825740401819333,0.604151207808963,0.2709862516968798,0.1148130416870119
5,4774,0.9903397279078581,0.47752025227620387,0.24720865722275898,0.11799640655517596
6,4620,0.987201266685915,0.47898353681483563,0.2341841381246394,0.10749530792236328
7,4774,0.9833882261454452,0.4497974957336275,0.23128097999230757,0.10895500183105433
8,4774,0.9887333588172004,0.435306999409319,0.2405274327249771,0.1190688133239739
9,4620,0.9834625322634533,0.5438810769046845,0.2842499134757302,0.12779312133789134
10,4774,0.9858026978323365,0.5505283135697442,0.2674871463180338,0.12452564239501918
11,4620,0.9911700839706807,0.4968343843658275,0.25067278356263134,0.12668595314025877
12,4774,0.9864618551143638,0.6679051671844205,0.26603677485545507,0.09725890159606942
