group,n,R2,RMSE,MAE,MedAE
1,4774,0.9753415273303022,1.0767213780614309,0.5301123636858605,0.24280619621276822
2,4340,0.9805532526663743,0.8907802207791526,0.4854549180857048,0.26522808074951154
3,4774,0.977446306074114,0.8384082695488321,0.4980376371540282,0.29721460342407235
4,4620,0.9747725859377153,0.7269150517949381,0.4285911489668347,0.26855685710906974
5,4774,0.9823742914967266,0.6450158809599622,0.4116735036671786,0.2702091217041023
6,4620,0.9780729461939599,0.6269418090764736,0.3903556240585459,0.26572875976562393
7,4774,0.9725055744360184,0.5786705136428892,0.37478638893897726,0.2627155303955089
8,4774,0.9791896472883123,0.5916135867433067,0.39037317776210545,0.2667963027954112
9,4620,0.9713549957909393,0.7158036177611736,0.449740699163247,0.2949842453002933
10,4774,0.9780875084049413,0.6839472819353342,0.424871069365183,0.27361526489257804
11,4620,0.9860932015463947,0.6235150460667681,0.3891575248210461,0.2560252189636232
12,4774,0.9812879709375664,0.7852277988405016,0.4153106276940041,0.23417873382568377
