group,n,R2,RMSE,MAE,MedAE
1,4774,0.9812922504092215,0.9378449051091706,0.41782957658539965,0.1860878944396971
2,4340,0.9861744299979209,0.7510841585702271,0.3853890621387464,0.2067089080810547
3,4774,0.9845787637119842,0.6932762265835725,0.38814724721217386,0.22395975589752215
4,4620,0.9811467097087901,0.6284067932066882,0.33529284621729993,0.19951968193054181
5,4774,0.9878147645822218,0.5363077562467828,0.3350334368043731,0.2177487373352056
6,4620,0.9844559121948406,0.5278611651056176,0.30646114995469265,0.19578266143798828
7,4774,0.9801609694278939,0.49155175543744084,0.29967680388931256,0.19316425323486364
8,4774,0.9862098955390166,0.48159525213319687,0.31259123339131634,0.20660133361816513
9,4620,0.9806694050440354,0.588019941176577,0.36030842797580737,0.23204736709594798
10,4774,0.9836460280986521,0.5908651429865631,0.344336597730687,0.21620597839355482
11,4620,0.989752910182293,0.5352215963909487,0.321710551971997,0.20684804916381827
12,4774,0.9860266571700509,0.6785555105512305,0.3352065721714801,0.18797035217285174
