group,n,R2,RMSE,MAE,MedAE
1,4774,0.9840257038565914,0.8666248042265213,0.30081035594098876,0.07626695080227064
2,4340,0.9898662295905012,0.6430320355347685,0.2530676152737202,0.08778195178795212
3,4774,0.9894285900403825,0.5740016881224465,0.25571401999102944,0.09340377382714227
4,4620,0.98469822132163,0.5661327148498377,0.2274380848323019,0.08817478644293009
5,4774,0.9920395228626335,0.43347760534276647,0.20801892774837616,0.08791180900936979
6,4620,0.9888403252232719,0.4472628849027783,0.19989833863481554,0.08053870455704448
7,4774,0.9867365182719623,0.40191831758061275,0.19194086470869753,0.08139869564022817
8,4774,0.9917986696588903,0.37139886424748514,0.1943013832331781,0.08534088835442155
9,4620,0.986919999387615,0.483696924483213,0.2361665894608158,0.09762053129192161
10,4774,0.9878164316180538,0.5099927465200514,0.22355625329405895,0.09087357922169037
11,4620,0.992737208527839,0.45059373088881993,0.20898864429114794,0.0912369476903852
12,4774,0.9888476751326564,0.6062027895459132,0.22369564745218107,0.08108960175753599
