group,n,R2,RMSE,MAE,MedAE
1,4774,0.9840245207823877,0.8666568952325452,0.3008217713400366,0.07630958557128942
2,4340,0.9898665853432629,0.6430207484016996,0.2530658456257412,0.08772420883178667
3,4774,0.9894296362114753,0.5739732851547654,0.2557119797501646,0.09332675933837908
4,4620,0.9847010788420417,0.5660798513443835,0.22743100757722726,0.08822884559631383
5,4774,0.9920397239924745,0.4334721291740002,0.20801193059914072,0.08799314498901456
6,4620,0.988840221324213,0.4472649669564942,0.19990061762012964,0.08043899536132848
7,4774,0.9867359568846664,0.4019268232450618,0.19194548710350415,0.0814641952514652
8,4774,0.9917970868538194,0.3714347013386058,0.1943139454586315,0.08538284301757848
9,4620,0.9869220226667245,0.48365951272153535,0.2361596640776762,0.09779348373413033
10,4774,0.9878165230373737,0.5099908331529631,0.22355539527057258,0.09079370498657213
11,4620,0.9927374440083011,0.45058642606115973,0.2089935619387276,0.09115297794342042
12,4774,0.9888482047357612,0.6061883956551836,0.22369030133220613,0.08110609054565421
