group,n,R2,RMSE,MAE,MedAE
1,4774,0.9845405044300255,0.8525461724558392,0.26542110425136456,0.039138507843017756
2,4340,0.9903722342148145,0.6267723621343458,0.21887055257498395,0.0555941581726076
3,4774,0.9895592787982589,0.5704426143261214,0.22051812577657134,0.05782618522644012
4,4620,0.9852212324994475,0.5563734563575318,0.1963097368999993,0.05418310165405327
5,4774,0.9925108551642017,0.42044890976228566,0.17605174176104657,0.05557193756103462
6,4620,0.9897422307448217,0.4288086667152084,0.16771086719645054,0.04669113159179794
7,4774,0.987827145721673,0.3850394600153219,0.1601984609356973,0.04998512268066513
8,4774,0.9930432642313989,0.34205911901871217,0.16048841376558323,0.053928375244140625
9,4620,0.9881087895731279,0.4611927548271991,0.19930390545816132,0.061359214782714666
10,4774,0.9889453370270882,0.4857910396357139,0.18816991464633248,0.05567617416381854
11,4620,0.9929447807139238,0.4441080199729446,0.17870776126911114,0.05928549766540532
12,4774,0.9887888470690366,0.6077995342501802,0.1932602687715036,0.047291564941406516
