group,n,R2,RMSE,MAE,MedAE
1,4774,0.9854166652400445,0.8280349574475452,0.24059886335314612,0.029337024688721236
2,4340,0.9909766782620215,0.6067786633439448,0.18794018193404513,0.031531333923338956
3,4774,0.9901581242562038,0.5538416990583613,0.18823157795474707,0.03224811553955087
4,4620,0.985461677749105,0.5518288976207909,0.1716187988518983,0.02943782806396511
5,4774,0.9930677405594315,0.4045148968525246,0.14622958598398594,0.029049968719482955
6,4620,0.9906768678710711,0.40880670589431206,0.14390779920470667,0.02791538238525426
7,4774,0.9889121682514512,0.367478844099627,0.13483608175532608,0.02796173095703125
8,4774,0.9937464509184362,0.3243110155132073,0.13229340847736126,0.030104064941406605
9,4620,0.988934982883959,0.4448826703439549,0.1661187809989566,0.031510353088378906
10,4774,0.9894221118721956,0.47519978064723206,0.1612387575785804,0.031112098693847123
11,4620,0.9932367000669663,0.4348231735400124,0.1509659413887224,0.03175883293151838
12,4774,0.9893105085630186,0.5934904655727027,0.16847610988668651,0.029157352447509055
