Cod,X_final,Y_final,region,has_target
0,46.37461843,51.79261314,east,0
27972,46.43333,53.05,east,0
34173,46.76667,51.7,east,0
34373,46.88333,50.05,east,0
34273,46.96667,50.95,east,0
27981,47.51667,53.15,east,0
34086,47.7928,52.0138,east,0
34083,48.08333,52.5,east,0
34289,48.13333,50.46667,east,1
34186,48.3,51.36667,east,1
27983,48.46667,53.16667,east,0
34391,48.55,50.15,east,1
34394,48.7,49.75,east,0
34098,48.8,52.01667,east,0
27995,49.43333,52.98333,east,1
27992,49.7172,52.983,east,0
34199,49.73333,51.2,east,0
35135,49.9,53.1,east,0
28900,50.15,53.2,east,1
35107,50.28333,51.1,east,0
35007,50.3495,51.8672,east,1
35001,50.46667,52.38333,east,0
35302,51.16667,50.18333,east,0
28908,51.28333,52.61667,east,0
35108,51.41667,51.23333,east,1
35202,51.5452,50.734,east,0
27947,41.46667,52.73333,west,1
34047,41.48333,51.83333,west,0
27848,41.8,53.45,west,0
34240,42.0,50.8,west,1
34146,42.08333,51.36667,west,0
27857,42.63333,53.48333,west,1
34254,42.66667,50.51667,west,0
27957,42.73333,52.65,west,0
34152,43.15,51.55,west,1
34352,43.23333,50.06667,west,0
27858,43.31667,53.33333,west,0
27955,43.43333,52.96667,west,0
34059,43.6,51.85,west,1
34253,43.73333,50.95,west,0
34056,43.77711,52.24686,west,0
34267,44.11667,50.36667,west,0
27965,44.5335,52.6998,west,0
34262,44.56667,50.8,west,0
34069,45.01667,51.86667,west,0
27962,45.01667,53.11667,west,1
34363,45.367,50.0667,west,0
34169,45.38333,51.06667,west,0
34063,45.4,52.2833,west,0
34163,45.45,51.63333,west,1
34178,45.9399,51.4786,west,0
34072,46.36667,52.33333,west,0
