month,n,MAE_baseline,MAE_hybrid,MAE_delta_hybrid_minus_baseline
1,868.0,1.0640182747818907,1.0544110048201776,-0.009607269961713127
2,784.0,0.7935480898740339,0.812635693440632,0.01908760356659811
3,868.0,0.7941450681554557,0.8189197238139841,0.024774655658528433
4,840.0,0.749227481966927,0.749227481966927,0.0
5,868.0,0.6327821236052271,0.6327821236052271,0.0
6,840.0,0.6161414600553967,0.6161414600553967,0.0
7,868.0,0.5616557061946886,0.5616557061946886,0.0
8,868.0,0.5409222068874517,0.5409222068874517,0.0
9,840.0,0.7074074773561387,0.7074074773561387,0.0
10,868.0,0.6828657523278268,0.6828657523278268,0.0
11,840.0,0.6340668417158581,0.6715370036306836,0.03747016191482544
12,868.0,0.7397868008108182,0.7353035922424034,-0.004483208568414776
