seed,mode,R2,RMSE,MAE,MedAE,n
42,finetune,0.9742620016599304,0.9660255061084672,0.704008903198158,0.5115782260894772,3624
52,finetune,0.9749129004529148,0.9537321780968088,0.6948564797705636,0.5028947830200197,3624
62,finetune,0.9752838185623276,0.9466553559253033,0.6889952858289083,0.4926659107208255,3624
72,finetune,0.975633041493168,0.9399437639921064,0.6830951730804992,0.4921629905700684,3624
82,finetune,0.9746119188849608,0.9594363039731488,0.6999020250033069,0.5102335453033449,3624
92,finetune,0.9745326919868176,0.9609321624436928,0.6989726748424386,0.4990400791168212,3624
102,finetune,0.9754043240113616,0.944344794385522,0.6838159141687894,0.4888272523880001,3624
112,finetune,0.9756836515214208,0.9389671278009936,0.6830869868627975,0.4912821769714355,3624
122,finetune,0.975373617221799,0.9449341002428968,0.6868299739645016,0.4888348817825318,3624
132,finetune,0.9750138803951268,0.9518107736410326,0.6916028521313572,0.5005276203155518,3624
42,scratch,0.9759636572688666,0.9335453133342144,0.6752924624986733,0.4837101817131042,3624
52,scratch,0.976230515185103,0.9283486142090204,0.6719657066115743,0.4783738136291506,3624
62,scratch,0.9758898172431812,0.9349781467528148,0.6766759042116189,0.4826137065887446,3624
72,scratch,0.9763243399519196,0.9265145774800236,0.6743648255437151,0.4863614559173581,3624
82,scratch,0.975960931985004,0.9335982353592924,0.6785539571549456,0.4913302302360535,3624
92,scratch,0.9761131989983204,0.930636763636577,0.6763671480135676,0.4841190814971925,3624
102,scratch,0.97619591570527,0.9290240326939004,0.6750031587369657,0.4898290634155273,3624
112,scratch,0.9762486671670614,0.927994071696496,0.6740216978469957,0.483549952507019,3624
122,scratch,0.9756562750071194,0.9394955462831536,0.6806058281962709,0.4864823818206788,3624
132,scratch,0.9760071642883372,0.932700048095816,0.6742888140823141,0.481183409690857,3624
42,zero-shot,0.9388321154115532,1.489233989134149,1.0352285129871326,0.6942775726318361,3624
52,zero-shot,0.9417077635502596,1.4538063717927303,1.032579342063689,0.7177509784698488,3624
62,zero-shot,0.9443263217325486,1.4207778137198588,0.999301970083982,0.6771517992019654,3624
72,zero-shot,0.9436753009319012,1.4290606112452768,1.0061914867254809,0.687852716445923,3624
82,zero-shot,0.943069756493758,1.4367219594380003,1.0135354324945025,0.7025359869003298,3624
92,zero-shot,0.9428037671611909,1.4400743724796317,1.0006873656713935,0.6700017929077147,3624
102,zero-shot,0.9402741082951368,1.471575437467924,1.0309267193013203,0.6979317665100095,3624
112,zero-shot,0.9486473863829163,1.364528104693605,0.982561721864915,0.6896474838256836,3624
122,zero-shot,0.9481789446931388,1.370737630436944,0.9651629134519212,0.6737669944763184,3624
132,zero-shot,0.9502498733466008,1.343068936065295,0.9612001927220004,0.673896312713623,3624
