direction,source_region,target_region,requested_target_stations,target_station_count,mode,R2,RMSE,MAE,MedAE,n,run_dir
west_to_east,west,east,3,3,finetune,0.9800628775362208,1.7327863586550023,1.0165896587035894,0.6158668994903564,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain03
west_to_east,west,east,3,3,finetune+bias[station_month],0.9800664430078576,1.7326314095927362,1.0162367991514203,0.6187073159219176,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain03
west_to_east,west,east,3,3,scratch,0.9787333278114356,1.78963123252813,1.0288015389395786,0.6102585315704345,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain03
west_to_east,west,east,3,3,scratch+bias[station_month],0.9787326918466578,1.7896579911556785,1.028843413360054,0.6118134997860155,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain03
west_to_east,west,east,3,3,zero-shot,0.9784936244604788,1.799688719908585,1.0627688489734777,0.6276567459106435,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain03
west_to_east,west,east,3,3,zero-shot+bias[station_month],0.9789760614520068,1.779388671418989,1.0460700208640867,0.6195551496283076,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain03
west_to_east,west,east,5,5,finetune,0.9802156702947672,1.726133783331034,0.9896522554819364,0.577265357971191,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain05
west_to_east,west,east,5,5,finetune+bias[station_month],0.9802209816361528,1.7259020670853824,0.989978584417324,0.5753699446237217,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain05
west_to_east,west,east,5,5,scratch,0.9807051073231148,1.7046489907096083,0.9951469105237152,0.5869822502136226,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain05
west_to_east,west,east,5,5,scratch+bias[station_month],0.9807010583676457,1.7048278381879471,0.9953641766770246,0.5869264461319084,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain05
west_to_east,west,east,5,5,zero-shot,0.9784722313032364,1.80058360463419,1.0633327267174617,0.631181526184081,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain05
west_to_east,west,east,5,5,zero-shot+bias[station_month],0.9790079674153088,1.7780379571933596,1.0373268957435462,0.6151692867279064,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__fewtrain05
west_to_east,west,east,26,26,finetune,0.9855997304612788,1.4726484770949084,0.8757580868092069,0.5575637817382812,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__all
west_to_east,west,east,26,26,finetune+bias[station_month],0.985645354722039,1.4703137360466008,0.8744916562210775,0.556110901778459,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__all
west_to_east,west,east,26,26,scratch,0.9858268071699632,1.4609913006723694,0.8732530108076718,0.5527502059936524,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__all
west_to_east,west,east,26,26,scratch+bias[station_month],0.9858585668582892,1.4593534674743298,0.8736236054171462,0.5538487175516473,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__all
west_to_east,west,east,26,26,zero-shot,0.979799323690124,1.744201826301764,1.028153366491986,0.5984336853027354,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__all
west_to_east,west,east,26,26,zero-shot+bias[station_month],0.9804661846084484,1.7151705912608977,1.015127495944705,0.596545314583727,5110,outputs_runs/20260407_191500_spatial_transfer_w2e_stationmonth_w10/west_to_east__all
