target_coverage,month,n,q_month,coverage,mean_width
0.8,1,7719,2.5211140441894533,0.816426998315844,5.042228088378906
0.8,2,6968,2.4877567291259797,0.8447187141216992,4.975513458251959
0.8,3,7727,2.1793594360351562,0.8057460851559467,4.3587188720703125
0.8,4,7498,1.78858455657959,0.797012536676447,3.5771691131591794
0.8,5,7683,1.4645289230346685,0.7836782506833269,2.929057846069337
0.8,6,7494,1.2999999999999998,0.8039765145449693,2.600000000000001
0.8,7,7721,1.2999999999999972,0.8364201528299443,2.5999999999999943
0.8,8,7708,1.2927423858642577,0.8212247016087182,2.5854847717285168
0.8,9,7437,1.4429220199584964,0.7910447761194029,2.8858440399169925
0.8,10,7694,1.5203912353515627,0.8003639199376137,3.0407824707031255
0.8,11,7441,2.1000000000000014,0.7966671146351297,4.200000000000003
0.8,12,7716,2.5625080871582036,0.8312597200622084,5.125016174316408
0.85,1,7719,3.0,0.8616401088223863,6.0
0.85,2,6968,2.8979217529296855,0.8808840413318025,5.79584350585937
0.85,3,7727,2.5785147190093993,0.853630128122169,5.157029438018797
0.85,4,7498,2.1050762557983402,0.8522272606028274,4.210152511596682
0.85,5,7683,1.6999999999999993,0.8319666796824158,3.3999999999999986
0.85,6,7494,1.4999999999999998,0.8502802241793435,3.0
0.85,7,7721,1.5,0.8869317445926693,3.0
0.85,8,7708,1.5,0.8757135443694862,3.0
0.85,9,7437,1.6971347045898437,0.8379723006588679,3.3942694091796874
0.85,10,7694,1.7999999999999998,0.8466337405770731,3.600000000000001
0.85,11,7441,2.5,0.8450477086413116,5.0
0.85,12,7716,3.0,0.8742871954380508,6.0
0.9,1,7719,3.6000000000000014,0.903355356911517,7.200000000000002
0.9,2,6968,3.5,0.9235074626865671,7.0
0.9,3,7727,3.1330314636230465,0.9035848324058496,6.266062927246095
0.9,4,7498,2.5446765708923356,0.8981061616431049,5.089353141784669
0.9,5,7683,2.0361327743530286,0.888845503058701,4.072265548706056
0.9,6,7494,1.7999999999999972,0.8977848945823326,3.5999999999999943
0.9,7,7721,1.801855316162109,0.9265639165911151,3.603710632324216
0.9,8,7708,1.8000000000000007,0.923326414115205,3.6000000000000014
0.9,9,7437,2.032287521362304,0.8887992470082022,4.064575042724608
0.9,10,7694,2.196221714019776,0.8938133610605666,4.392443428039553
0.9,11,7441,3.129393997192382,0.8998790485149846,6.258787994384762
0.9,12,7716,3.700000000000003,0.9193882840850182,7.400000000000006
