target_coverage,station_group,month,n,source_main,coverage,mean_width
0.8,0,1,1984,group_month,0.8155241935483871,2.5711762332916264
0.8,0,2,1792,group_month,0.8727678571428571,2.8000000000000003
0.8,0,3,1984,group_month,0.797883064516129,2.1999999999999993
0.8,0,4,1920,group_month,0.7901041666666667,1.8000000000000007
0.8,0,5,1976,group_month,0.8269230769230769,2.0
0.8,0,6,1920,group_month,0.778125,1.7750124359130837
0.8,0,7,1984,group_month,0.7862903225806451,1.6175709507614329
0.8,0,8,1984,group_month,0.766633064516129,1.6592565166950237
0.8,0,9,1914,group_month,0.7533960292580982,1.6000000000000003
0.8,0,10,1984,group_month,0.8251008064516129,1.7999999999999985
0.8,0,11,1920,group_month,0.8109375,2.0
0.8,0,12,1984,group_month,0.8185483870967742,2.6
0.8,1,1,1891,group_month,0.8751983077736647,4.799999999999997
0.8,1,2,1708,group_month,0.8881733021077284,4.362625610828402
0.8,1,3,1899,group_month,0.8077935755660874,3.399999999999999
0.8,1,4,1858,group_month,0.7648008611410119,2.8
0.8,1,5,1902,group_month,0.823869610935857,2.8011804723739657
0.8,1,6,1860,group_month,0.8306451612903226,2.400000000000003
0.8,1,7,1922,group_month,0.8532778355879292,2.276783180236813
0.8,1,8,1911,group_month,0.8351648351648352,2.2000000000000033
0.8,1,9,1830,group_month,0.7994535519125683,2.399999999999999
0.8,1,10,1891,group_month,0.822316234796404,2.399999999999999
0.8,1,11,1830,group_month,0.8131147540983606,3.464964922070503
0.8,1,12,1891,group_month,0.8239026969857218,4.200895301986023
0.8,2,1,1922,group_month,0.7804370447450573,5.522306361198426
0.8,2,2,1732,group_month,0.819284064665127,5.200000000000001
0.8,2,3,1922,group_month,0.7960457856399584,4.881063644886016
0.8,2,4,1860,group_month,0.8053763440860215,4.0
0.8,2,5,1889,group_month,0.7421916357861302,3.186458351612091
0.8,2,6,1854,group_month,0.7659115426105717,2.672181770801542
0.8,2,7,1906,group_month,0.8137460650577125,2.592728641033176
0.8,2,8,1891,group_month,0.7667900581702802,2.4675994682312
0.8,2,9,1837,group_month,0.7871529667936854,3.2563908410072333
0.8,2,10,1921,group_month,0.8047891723060906,3.799999999999999
0.8,2,11,1859,group_month,0.750403442711135,4.519198135137558
0.8,2,12,1919,group_month,0.8254299114121939,5.642864389419557
0.8,3,1,1922,group_month,0.8028095733610822,6.811878194808965
0.8,3,2,1736,group_month,0.8542626728110599,7.42079881384969
0.8,3,3,1922,group_month,0.8298647242455776,7.1113839626312245
0.8,3,4,1860,group_month,0.8129032258064516,5.445338112115862
0.8,3,5,1916,group_month,0.7515657620041754,3.516075017750264
0.8,3,6,1860,group_month,0.7989247311827957,3.442811983823777
0.8,3,7,1909,group_month,0.8480880041906758,3.5640830338001273
0.8,3,8,1922,group_month,0.86420395421436,3.6406960725784288
0.8,3,9,1856,group_month,0.7855603448275862,4.179528708457945
0.8,3,10,1898,group_month,0.756059009483667,4.215807543396953
0.8,3,11,1832,group_month,0.8171397379912664,6.6000000000000005
0.8,3,12,1922,group_month,0.8465140478668054,7.400000000000006
0.85,0,1,1984,group_month,0.8639112903225806,3.0
0.85,0,2,1792,group_month,0.9112723214285714,3.258045209571716
0.85,0,3,1984,group_month,0.8356854838709677,2.4487426218390462
0.85,0,4,1920,group_month,0.834375,2.199999999999996
0.85,0,5,1976,group_month,0.8689271255060729,2.3597356945276293
0.85,0,6,1920,group_month,0.8432291666666667,2.0
0.85,0,7,1984,group_month,0.8467741935483871,1.9747146976366643
0.85,0,8,1984,group_month,0.8412298387096774,2.0
0.85,0,9,1914,group_month,0.809299895506792,1.8675513520836826
0.85,0,10,1984,group_month,0.8734879032258065,2.146585305035116
0.85,0,11,1920,group_month,0.85625,2.4
0.85,0,12,1984,group_month,0.8518145161290323,3.0063130074739464
0.85,1,1,1891,group_month,0.8984664198836594,5.533124925792216
0.85,1,2,1708,group_month,0.9139344262295082,5.0
0.85,1,3,1899,group_month,0.8604528699315429,4.0
0.85,1,4,1858,group_month,0.8121636167922497,3.3329060652852056
0.85,1,5,1902,group_month,0.8722397476340694,3.3407526725530587
0.85,1,6,1860,group_month,0.8693548387096774,2.799999999999997
0.85,1,7,1922,group_month,0.9001040582726326,2.6020797455310847
0.85,1,8,1911,group_month,0.8906331763474621,2.6000000000000014
