variant,split,R2,RMSE,MAE,MedAE,n
baseline,calib,0.9890070676602702,1.7220785327577086,1.172378210806023,0.7999999999999998,45160
baseline,test,0.988197880263008,1.6839971555320687,1.1344283417395327,0.7000000000000028,90806
ridge_global,calib,0.9894217602272884,1.6892848174088442,1.1624669067772986,0.7869218464031871,45160
ridge_global,test,0.9887959454128331,1.6407747099627565,1.122846767392545,0.7545930262787888,90806
ridge_gated,calib,0.9894476198400044,1.687218737302593,1.1535776069419352,0.7933818054958528,45160
ridge_gated,test,0.9888100997010382,1.6397379719940863,1.1149691218917428,0.7316712267191603,90806
ridge_gated_station_month,calib,0.9896790670597593,1.6686131181563506,1.1329292428729762,0.7515380978293651,45160
ridge_gated_station_month,test,0.9889132024725726,1.6321662886443884,1.1092506453441033,0.7236306032239463,90806
ridge_soft_station,calib,0.9890972969021679,1.7149966190403962,1.1649608894277284,0.7950885674375021,45160
ridge_soft_station,test,0.9883221623350694,1.675107033928671,1.1266290481801255,0.7156530877841303,90806
ridge_soft_station_month,calib,0.9894370508413949,1.688063463770887,1.1497032199437467,0.7785654932517458,45160
ridge_soft_station_month,test,0.9887134753188183,1.646802293617384,1.116881898366295,0.716737366694451,90806
ridge_seasonal,calib,0.9896968102847216,1.6671782036198697,1.1540033560117697,0.7836847436593701,45160
ridge_seasonal,test,0.9892310138106917,1.6086025594971591,1.1096508294560554,0.7522518260047688,90806
xgb_global,calib,0.9897456285438416,1.6632238274857813,1.1517170516689876,0.7788481116294861,45160
xgb_global,test,0.9892934571912698,1.6039320820607952,1.108502722479694,0.7517678976058957,90806
xgb_delta_global,calib,0.9899895322898621,1.6433246130547168,1.133255883928511,0.7637444540858267,45160
xgb_delta_global,test,0.9895903881446846,1.5815342936137295,1.0898767557555924,0.7335339054465306,90806
xgb_delta_clustered,calib,0.9899187986957766,1.6491202286013487,1.1378578423698535,0.7680923387408249,45160
xgb_delta_clustered,test,0.9895716527647254,1.582956888705746,1.0935291790238577,0.7428484953939911,90806
xgb_delta_gated,calib,0.9900080031239433,1.6418078212413154,1.1268566700296023,0.7576285541057588,45160
xgb_delta_gated,test,0.9895936048694736,1.5812899159310712,1.0864265915098723,0.7164805635809905,90806
xgb_delta_gated_station_month,calib,0.9900680387373654,1.6368680957780466,1.1165622867448552,0.7336586754769083,45160
xgb_delta_gated_station_month,test,0.989505706640638,1.5879541023244084,1.0890861270338368,0.7098024345934384,90806
xgb_delta_clustered_gated,calib,0.9899528926056799,1.6463292628941752,1.1302811561180783,0.7669316343963137,45160
xgb_delta_clustered_gated,test,0.9895552027845528,1.5842048980032337,1.0900224643982743,0.7213605463504793,90806
xgb_gated,calib,0.9898613394759601,1.6538132469158906,1.1356947612811559,0.7726620674133304,45160
xgb_gated,test,0.9894179224465046,1.594581845931584,1.0967010919473759,0.7159884452819822,90806
xgb_gated_station_month,calib,0.9900351285616902,1.6395777854284617,1.1194484367793796,0.739448761940003,45160
xgb_gated_station_month,test,0.9894229448311181,1.5942033969097122,1.0959410577949016,0.7224704742431634,90806
xgb_soft_station,calib,0.989687843855791,1.6679034830922468,1.1457382324544536,0.792493513895669,45160
xgb_soft_station,test,0.989191411755636,1.6115575966254898,1.1049238196536573,0.7080020657585431,90806
xgb_soft_station_month,calib,0.9897929648311835,1.6593804953465674,1.135999395945637,0.7710716897477334,45160
xgb_soft_station_month,test,0.989246450761758,1.607449209318367,1.1018916218356292,0.7129660073467292,90806
ridge_downweight,calib,0.9894141341447081,1.6898936287418993,1.1638117172903426,0.7888517245394722,45160
ridge_downweight,test,0.9887911304262823,1.6411272367861949,1.124005533108486,0.7573072585767073,90806
