station,n,baseline_mae,xgb_delta_mae,gain,alpha
25913,365,2.946849315068493,1.306875459937098,1.639973855131395,0.5565177176673105
22113,365,1.258082191780822,0.7180813196434142,0.5400008721374079,0.42922543190364515
37235,365,0.8843835616438357,0.5828079382319973,0.3015756234118384,0.341000937253163
30710,365,1.2413698630136987,1.045001038761988,0.19636882425171076,0.1581872011738566
29570,365,1.4216438356164383,1.2425080162816529,0.1791358193347854,0.12600611689573457
25563,365,2.4104109589041096,2.2634826367731167,0.14692832213099294,0.060955714455344874
26063,365,0.6131506849315069,0.5008991475158359,0.11225153741567107,0.18307332956532588
30823,365,1.2115068493150685,1.1010769384032855,0.110429910911783,0.09115087626142197
28900,365,0.6528767123287671,0.5641194927247165,0.08875721960405059,0.1359479024568966
24688,365,1.8846575342465757,1.8043920588921534,0.0802654753544223,0.04258889156034908
22837,365,1.1884931506849314,1.1119314678148557,0.0765616828700757,0.06441911998058468
28440,365,0.8567123287671234,0.7834885188888707,0.07322380987825272,0.08547070868424125
29866,293,1.4860068259385668,1.4191624136311052,0.06684441230746163,0.04498257419863632
30965,365,1.5865753424657534,1.525445315936606,0.06113002652914745,0.03852954529984255
34163,275,1.2272727272727275,1.1684876375531736,0.058785089719553874,0.047898961993710555
29838,365,1.5197260273972604,1.4649978782729667,0.05472814912429369,0.03601185222709067
25703,364,2.1123626373626374,2.060806338885891,0.05155629847674659,0.0244069354214277
21946,365,1.5838356164383565,1.5324392437692476,0.0513963726691089,0.032450572607204194
30393,364,1.2436813186813187,1.1925577209724156,0.05112359770890307,0.04110667012600114
31873,365,1.3345205479452056,1.2837789564105453,0.05074159153466029,0.03802233814442826
21982,365,1.2167123287671233,1.1683129202436389,0.048399408523484455,0.039778842853122776
24966,339,1.8380530973451328,1.7917587314465886,0.04629436589854419,0.02518663142289597
31594,365,1.4994520547945205,1.453307938870961,0.04614411592355938,0.030773985587610405
25551,364,2.125824175824176,2.0818378393850443,0.043986336439131524,0.02069142732468839
31707,365,1.232602739726027,1.1904688296176185,0.04213391010840861,0.0341828788387845
30673,365,1.5561643835616439,1.514174558905588,0.04198982465605594,0.026982897886373976
31915,365,1.1893150684931508,1.1477437680023834,0.041571300490767404,0.03495398451769201
30949,365,1.4032876712328768,1.362314670842734,0.04097300039014273,0.029197862441237985
28722,365,0.8958904109589038,0.8567954475254023,0.039094963433501495,0.043638109031278446
30521,365,1.4043835616438354,1.3656622782221053,0.03872128342173009,0.027571729319023578
31004,365,1.232054794520548,1.194273795520708,0.03778099899984011,0.030665031431936045
32098,365,1.5421917808219177,1.5047566260167795,0.03743515480513815,0.024273994499689866
30925,365,1.2112328767123288,1.174199360453728,0.03703351625860085,0.030575058661817034
31388,354,1.2522598870056498,1.2159007021362136,0.036359184869436234,0.02903485550142212
31416,365,1.692602739726028,1.6563018650968868,0.03630087462914111,0.02144677766208563
24908,365,1.894246575342466,1.8579893026043572,0.03625727273810875,0.019140735535738633
23891,364,1.4549450549450547,1.4192526826086986,0.035692372336356026,0.024531766484957696
