station,month
20891,1
20891,5
20891,7
20891,8
20891,11
21946,1
21946,4
21946,5
21946,7
21946,8
21946,9
21946,10
21946,11
21946,12
21982,1
21982,2
21982,6
21982,7
21982,10
21982,11
21982,12
22113,1
22113,2
22113,3
22113,6
22113,8
22113,9
22113,10
22113,11
22113,12
22217,1
22217,2
22550,3
22550,4
22550,5
22550,6
22550,7
22550,9
22550,10
22550,11
22583,1
22583,6
22583,8
22583,10
22583,11
22602,1
22602,2
22641,2
22641,6
22641,7
22641,12
22802,2
22802,12
22820,5
22837,2
22837,3
22837,4
22837,5
22837,6
22837,7
22837,8
22837,10
22837,12
22887,1
22887,4
22887,6
22887,7
22887,10
22887,11
23205,2
23205,4
23205,9
23205,10
23205,11
23205,12
23324,6
23405,1
23405,2
23405,3
23405,4
23405,6
23405,10
23405,11
23405,12
23418,4
23418,7
23418,10
23472,4
23472,5
23472,7
23472,8
23472,10
23472,12
23631,4
23631,5
23631,6
23631,7
23631,8
23631,10
23631,12
23711,1
23711,2
23711,3
23711,4
23724,4
23724,6
23724,8
23724,9
23724,11
23804,1
23804,7
23884,1
23884,2
23884,3
23884,4
23884,5
23884,7
23884,8
23884,9
23891,2
23891,3
23891,4
23891,5
23891,6
23891,7
23891,8
23891,10
23891,11
23921,1
23921,3
23921,6
23921,7
23921,8
23921,10
23921,12
23933,2
23933,3
23933,6
23933,7
23933,8
23933,9
23933,10
23933,12
23955,1
23955,2
23955,4
23955,5
23955,6
23955,7
23955,8
23955,9
23955,10
24125,2
24125,6
24266,3
24266,4
24266,6
24266,7
24266,8
24266,9
24266,11
24266,12
24343,1
24343,2
24343,5
24343,6
24343,7
24343,8
24343,9
24343,11
24507,1
24507,4
24507,5
24507,6
24507,7
24507,8
24507,9
24507,11
24507,12
24641,2
24641,3
24641,5
24641,6
24641,8
24641,11
24688,1
24688,3
24688,5
24688,6
24688,7
24688,8
24688,9
24688,10
24688,11
24738,3
24738,5
24738,7
24738,8
24738,9
24738,11
24817,4
24817,5
24817,6
24817,7
24817,8
24908,1
24908,3
24908,4
24908,5
24908,6
24908,7
24908,8
24908,9
24908,10
24944,4
24944,5
24944,6
24944,7
24944,8
24944,9
24951,3
24951,4
24951,5
24951,6
24951,7
24951,8
24951,9
24951,11
24951,12
24959,1
24959,3
24959,5
24959,7
24959,8
24959,9
24959,10
24959,11
24959,12
24966,4
24966,5
24966,6
24966,7
24966,8
24966,9
24966,10
24966,11
25551,2
25551,3
25551,5
25551,6
25551,7
25551,8
25551,10
25551,11
25563,1
25563,2
25563,3
25563,5
25563,6
25563,7
25563,8
25563,9
25563,10
25563,12
25703,1
25703,2
25703,4
25703,5
25703,6
25703,7
25703,8
25703,9
25703,11
25913,1
25913,2
25913,3
25913,4
25913,5
25913,6
25913,7
25913,8
25913,9
25913,10
25913,11
25913,12
26063,1
26063,2
26063,3
26063,4
26063,5
