target_coverage,month,n,q_month,coverage,mean_width
0.8,1,7936,2.4737326145172136,0.8102318548387096,4.947465229034428
0.8,2,7164,2.4853225839138027,0.8422668900055835,4.970645167827604
0.8,3,7944,2.1348889017105117,0.7969536757301108,4.2697778034210225
0.8,4,7679,1.7905219388008113,0.8012762078395624,3.5810438776016222
0.8,5,7857,1.4526285624504092,0.7836324296805397,2.9052571249008183
0.8,6,7674,1.2534596025943754,0.7861610633307271,2.506919205188751
0.8,7,7721,1.2745677130669357,0.8368087035358114,2.549135426133873
0.8,8,7708,1.293694621324537,0.827322262584328,2.5873892426490745
0.8,9,7437,1.4000000000000004,0.7876832055936533,2.8000000000000007
0.8,10,7694,1.5270348548889157,0.8019235768131011,3.0540697097778318
0.8,11,7441,2.0999999999999996,0.795323209246069,4.2
0.8,12,7716,2.5,0.8300933125972006,5.0
0.85,1,7936,2.8999999999999986,0.8534526209677419,5.799999999999996
0.85,2,7164,2.8999999999999986,0.8803740926856505,5.799999999999997
0.85,3,7944,2.5388233017921453,0.849320241691843,5.077646603584291
0.85,4,7679,2.0999999999999996,0.8519338455528064,4.200000000000001
0.85,5,7857,1.692995631545782,0.8331424207712868,3.385991263091564
0.85,6,7674,1.4539152893424026,0.8385457388584832,2.9078305786848038
0.85,7,7721,1.5,0.8869317445926693,3.0
0.85,8,7708,1.5133083403110525,0.881811105345096,3.0266166806221055
0.85,9,7437,1.6840365138649938,0.8383756891219578,3.3680730277299875
0.85,10,7694,1.8000000000000005,0.8481933974525604,3.600000000000001
0.85,11,7441,2.5,0.8454508802580298,5.0
0.85,12,7716,3.0,0.8745463970969414,6.0
0.9,1,7936,3.506526147127153,0.8995715725806451,7.013052294254306
0.9,2,7164,3.5,0.9204355108877722,7.0
0.9,3,7944,3.082522550523281,0.8965256797583081,6.1650451010465614
0.9,4,7679,2.5417230302095413,0.8998567521812736,5.083446060419082
0.9,5,7857,2.035885677337648,0.8907980145093547,4.071771354675296
0.9,6,7674,1.7280769139528287,0.8891060724524368,3.4561538279056583
0.9,7,7721,1.840584474205971,0.9299313560419635,3.6811689484119436
0.9,8,7708,1.802009493112564,0.9221587960560457,3.604018986225128
0.9,9,7437,2.000792906284333,0.8871856931558424,4.001585812568665
0.9,10,7694,2.2286763429641727,0.8984923316870288,4.4573526859283445
0.9,11,7441,3.188339395225048,0.9025668592931058,6.3766787904500974
0.9,12,7716,3.76987855374813,0.9228875064800415,7.539757107496258
