target_coverage,station_group,month,n,source_main,coverage,mean_width
0.8,0,1,1984,group_month,0.7993951612903226,2.446610522270204
0.8,0,2,1792,group_month,0.8705357142857143,2.8000000000000003
0.8,0,3,1984,group_month,0.7883064516129032,2.1977721285819984
0.8,0,4,1920,group_month,0.7786458333333334,1.8000000000000005
0.8,0,5,1972,group_month,0.8199797160243407,2.0
0.8,0,6,1920,group_month,0.7651041666666667,1.7435937595367434
0.8,0,7,1922,group_month,0.7924037460978148,1.627491329908367
0.8,0,8,1922,group_month,0.7544224765868887,1.601847873926161
0.8,0,9,1854,group_month,0.7578209277238404,1.6000000000000003
0.8,0,10,1922,group_month,0.8381893860561914,1.8615446543693568
0.8,0,11,1860,group_month,0.8075268817204301,2.0282352668046966
0.8,0,12,1922,group_month,0.8257023933402705,2.6826327013969404
0.8,1,1,1891,group_month,0.8746694870438921,4.623597209453585
0.8,1,2,1708,group_month,0.8881733021077284,4.292965419292447
0.8,1,3,1899,group_month,0.8030542390731964,3.416055833101277
0.8,1,4,1858,group_month,0.7653390742734123,2.8
0.8,1,5,1894,group_month,0.8484688489968321,3.0
0.8,1,6,1860,group_month,0.817741935483871,2.399999999999999
0.8,1,7,1798,group_month,0.8464961067853171,2.238232943415646
0.8,1,8,1787,group_month,0.8662562954672636,2.3999999999999986
0.8,1,9,1710,group_month,0.8052631578947368,2.400000000000002
0.8,1,10,1767,group_month,0.8330503678551217,2.3999999999999995
0.8,1,11,1710,group_month,0.7953216374269005,3.239942700266838
0.8,1,12,1767,group_month,0.8262591963780419,4.2
0.8,2,1,2046,group_month,0.7932551319648093,5.6000000000000005
0.8,2,2,1844,group_month,0.8280911062906724,5.17808040738106
0.8,2,3,2046,group_month,0.804496578690127,4.800000000000004
0.8,2,4,1980,group_month,0.8141414141414142,4.011145238876343
0.8,2,5,2013,group_month,0.7501241927471436,3.138906037807465
0.8,2,6,1974,group_month,0.7725430597771024,2.647594794034958
0.8,2,7,2030,group_month,0.8216748768472907,2.5848694062232975
0.8,2,8,2015,group_month,0.7707196029776675,2.4000000000000026
0.8,2,9,1957,group_month,0.7915176290240163,3.183562932014466
0.8,2,10,2045,group_month,0.8053789731051345,3.7359764343500146
0.8,2,11,1979,group_month,0.7635169277412834,4.56361020565033
0.8,2,12,2043,group_month,0.8228095937347039,5.508517527580258
0.8,3,1,2015,group_month,0.7880893300248138,6.799999999999996
0.8,3,2,1820,group_month,0.8428571428571429,7.465617063045506
0.8,3,3,2015,group_month,0.8084367245657568,6.972599958181379
0.8,3,4,1921,group_month,0.8162415408641333,5.435805809497835
0.8,3,5,1978,group_month,0.7573306370070778,3.5954803919792173
0.8,3,6,1920,group_month,0.790625,3.400000000000003
0.8,3,7,1971,group_month,0.8599695585996956,3.6783809208869944
0.8,3,8,1984,group_month,0.8775201612903226,3.8145058655738793
0.8,3,9,1916,group_month,0.8126304801670147,4.434355072975161
0.8,3,10,1960,group_month,0.7943877551020408,4.649232467412951
0.8,3,11,1892,group_month,0.8398520084566596,7.0
0.8,3,12,1984,group_month,0.8659274193548387,7.9333010578155525
0.85,0,1,1984,group_month,0.8548387096774194,2.993469130396844
0.85,0,2,1792,group_month,0.9051339285714286,3.2237787663936572
0.85,0,3,1984,group_month,0.8341733870967742,2.4000000000000057
0.85,0,4,1920,group_month,0.8380208333333333,2.199999999999999
0.85,0,5,1972,group_month,0.8625760649087221,2.386754869818688
0.85,0,6,1920,group_month,0.8390625,2.0
0.85,0,7,1922,group_month,0.8428720083246618,1.9357669165730507
0.85,0,8,1922,group_month,0.8132154006243496,1.9522904610633847
0.85,0,9,1854,group_month,0.8090614886731392,1.8367192086577415
0.85,0,10,1922,group_month,0.8818938605619147,2.1999999999999997
0.85,0,11,1860,group_month,0.8596774193548387,2.4699389679729933
0.85,0,12,1922,group_month,0.8605619146722164,3.197632524967192
0.85,1,1,1891,group_month,0.8989952406134321,5.264995117411017
0.85,1,2,1708,group_month,0.9127634660421545,4.97917425587773
0.85,1,3,1899,group_month,0.8562401263823065,4.0
0.85,1,4,1858,group_month,0.8153928955866523,3.2698512730002385
0.85,1,5,1894,group_month,0.882259767687434,3.399999999999998
0.85,1,6,1860,group_month,0.8521505376344086,2.647853899002076
0.85,1,7,1798,group_month,0.8971078976640712,2.6000000000000014
0.85,1,8,1787,group_month,0.9115836597649692,2.8271173512935595
0.85,1,9,1710,group_month,0.8368421052631579,2.799999999999997
0.85,1,10,1767,group_month,0.8794567062818336,2.8000000000000003
