station,month
20674,4
20674,8
20674,10
20891,1
20891,5
20891,6
20891,11
21946,1
21946,2
21946,4
21946,5
21946,7
21946,8
21946,9
21946,10
21946,11
21946,12
21982,2
21982,3
21982,10
21982,11
21982,12
22113,1
22113,2
22113,3
22113,9
22113,10
22113,11
22113,12
22217,1
22550,4
22550,6
22550,7
22550,9
22550,11
22583,6
22583,7
22583,8
22583,10
22583,11
22602,2
22641,4
22641,6
22641,7
22641,10
22641,12
22802,2
22820,2
22820,5
22837,2
22837,4
22837,5
22837,6
22837,7
22837,8
22837,10
22887,1
22887,4
22887,5
22887,7
22887,10
23205,9
23205,10
23205,11
23205,12
23324,6
23324,8
23324,10
23324,12
23405,1
23405,6
23405,10
23405,12
23418,6
23418,7
23418,8
23472,6
23472,7
23472,8
23472,9
23472,10
23472,12
23631,4
23631,5
23631,6
23631,7
23631,8
23711,1
23711,3
23711,4
23711,7
23711,8
23724,4
23724,6
23724,7
23724,8
23724,9
23724,11
23804,7
23804,11
23884,1
23884,2
23884,3
23884,4
23884,5
23884,7
23884,8
23884,9
23884,12
23891,4
23891,5
23891,6
23891,7
23891,8
23891,9
23891,10
23921,3
23921,7
23921,8
23921,10
23921,12
23933,3
23933,6
23933,7
23933,8
23933,9
23933,10
23933,12
23955,2
23955,4
23955,5
23955,6
23955,7
23955,8
23955,9
23955,11
24125,3
24125,6
24125,8
24266,4
24266,9
24266,11
24343,1
24343,2
24343,4
24343,5
24343,6
24343,7
24343,8
24343,9
24343,11
24507,4
24507,5
24507,6
24507,7
24507,9
24507,11
24507,12
24641,3
24641,4
24641,5
24641,8
24641,9
24688,1
24688,2
24688,4
24688,6
24688,8
24688,9
24688,10
24688,11
24738,5
24738,7
24738,8
24738,9
24817,4
24817,5
24817,6
24817,7
24817,8
24817,9
24908,1
24908,3
24908,4
24908,5
24908,6
24908,7
24908,9
24908,11
24944,4
24944,5
24944,8
24944,9
24951,3
24951,4
24951,5
24951,8
24951,9
24951,11
24959,2
24959,3
24959,4
24959,5
24959,9
24959,10
24959,11
24959,12
24966,3
24966,4
24966,5
24966,9
24966,10
24966,11
25551,1
25551,2
25551,3
25551,4
25551,6
25551,7
25551,8
25551,10
25551,11
25551,12
25563,2
25563,3
25563,5
25563,6
25563,7
25563,8
25563,9
25563,10
25563,12
25703,1
25703,2
25703,4
25703,5
25703,6
25703,7
25703,8
25703,9
25703,10
25703,11
25913,1
25913,2
25913,3
25913,10
25913,11
25913,12
26063,1
26063,2
26063,3
26063,4
26063,5
26063,6
26063,7
26063,8
26063,10
26063,11
26063,12
26258,8
26258,9
26258,10
26477,3
27037,6
27037,11
27037,12
27199,1
27199,2
27199,3
27199,4
27199,7
27199,8
27333,7
27333,11
27333,12
27459,1
27459,2
27459,3
27459,4
27459,10
27459,11
27459,12
27595,1
27595,2
27595,3
27595,5
27595,12
27612,6
27648,2
27648,6
27648,7
27648,8
27648,11
27823,2
27823,7
27823,12
27947,2
27947,3
27947,4
27947,6
27947,7
27947,8
27947,12
28064,3
28064,4
28064,5
28064,6
28064,7
28138,3
28138,7
28138,8
28138,11
28138,12
28224,1
28224,3
28224,4
28224,5
28224,7
28224,8
28224,10
28224,11
28275,3
28275,6
28275,7
28411,2
28411,6
28411,7
28411,10
28411,11
28411,12
28434,1
28434,3
28434,4
28434,5
28434,6
28434,7
28434,8
28434,10
28440,2
28440,3
28440,4
28440,5
28440,6
28440,7
28440,8
28493,1
28493,8
