variant,split,R2,RMSE,MAE,MedAE,n
baseline,calib,0.9877842644696695,1.8098990293190882,1.1969237315179238,0.7999999999999998,47005
baseline,test,0.9875624198145161,1.7252628641133727,1.1444216111600396,0.7999999999999972,91971
ridge_global,calib,0.9883199435694843,1.7697707246204637,1.1855986381564112,0.7905647317453441,47005
ridge_global,test,0.9882023623442201,1.680292365708108,1.1325982952426976,0.7573308942285217,91971
ridge_gated,calib,0.9883497701323141,1.7675096088357272,1.1767785321605035,0.7999999999999972,47005
ridge_gated,test,0.9882177818900274,1.679193933238292,1.1246975635870478,0.7366265415527913,91971
ridge_gated_station_month,calib,0.9885825442817925,1.7497629008473168,1.1559506000844346,0.7571028686818444,47005
ridge_gated_station_month,test,0.9882712107678565,1.6753822829840606,1.1195947347989526,0.7292726420456317,91971
ridge_soft_station,calib,0.9879042309216312,1.8009899103951799,1.189318041469654,0.7985375150380616,47005
ridge_soft_station,test,0.987696874109934,1.7159121975803777,1.1366068518214139,0.7209038872282747,91971
ridge_soft_station_month,calib,0.9882383892528444,1.7759385618026378,1.174262266838171,0.7860975887643467,47005
ridge_soft_station_month,test,0.988084636349953,1.688655186149148,1.1270070775870378,0.7227771414287041,91971
ridge_seasonal,calib,0.9886392216779843,1.745414498322273,1.1774889757558658,0.7879889465518666,47005
ridge_seasonal,test,0.9886410394106806,1.6487568916124442,1.1195040891539438,0.7549944375935767,91971
xgb_global,calib,0.9885620461334556,1.7513329010534977,1.1739933843796944,0.7796554565429688,47005
xgb_global,test,0.9886961686840425,1.644751009046372,1.1138615200289106,0.7466924905776979,91971
xgb_delta_global,calib,0.988747202937336,1.7370998373082875,1.159701572243729,0.7686695516109463,47005
xgb_delta_global,test,0.988944612370721,1.6265758306088758,1.1005574113258871,0.7368354506790631,91971
xgb_delta_clustered_v2,calib,0.9887238025117864,1.7389050669142099,1.1603035922925673,0.7689724922180172,47005
xgb_delta_clustered_v2,test,0.9889501113779151,1.6261712466613085,1.101517030193038,0.7398484587669394,91971
xgb_delta_gated,calib,0.9887778633953089,1.7347316880697845,1.1525942982371336,0.7636593490838983,47005
xgb_delta_gated,test,0.9889507918124324,1.6261211773746538,1.0969164235121938,0.7208329260349271,91971
xgb_delta_gated_station_month,calib,0.9888462457187361,1.7294383000466589,1.1422197453934266,0.7453323721885692,47005
xgb_delta_gated_station_month,test,0.9888580522215421,1.6329311989937108,1.0999988140866248,0.7149464190006256,91971
xgb_delta_clustered_v2_gated,calib,0.9887470933259739,1.737108297667722,1.1539915454327492,0.766486406326294,47005
xgb_delta_clustered_v2_gated,test,0.988937216309302,1.6271198297774185,1.098886118975651,0.7250020980834961,91971
xgb_gated,calib,0.9886781627818237,1.7424205700557303,1.1594207709836168,0.7814102172851562,47005
xgb_gated,test,0.988838508237243,1.634362726030416,1.1020946768874602,0.7121974945068352,91971
xgb_gated_station_month,calib,0.9888224421534917,1.7312827398626967,1.1438092706237797,0.7469924926757798,47005
xgb_gated_station_month,test,0.9888056979522587,1.6367631469417947,1.1034392046535522,0.717814636230468,91971
xgb_soft_station,calib,0.9884489691443634,1.7599685542311727,1.1707806714470994,0.7953061228147682,47005
xgb_soft_station,test,0.9885547740375753,1.65500577354297,1.1146263488570205,0.71089601380557,91971
xgb_soft_station_month,calib,0.9885530558335283,1.7520210449092255,1.1612084303438521,0.7765372025385162,47005
xgb_soft_station_month,test,0.9886090842502899,1.6510744138940965,1.1116650944730246,0.7166596609248614,91971
ridge_downweight,calib,0.988318515107558,1.7698789421116825,1.1867418889279682,0.7924659571115207,47005
ridge_downweight,test,0.9882002416369661,1.6804433810295794,1.1336485439143855,0.7594096397368695,91971
