dataset,variant,R2,RMSE,MAE,MedAE,n,stations_total,improved_station_count,worsened_station_count,mean_mae_gain,median_mae_gain
control_selected125_2013_2023,baseline,0.988197880263008,1.6839971555320687,1.1344283417395329,0.7000000000000028,90806,,,,,
expanded_min10_2013_2023,baseline,0.987562419814516,1.7252628641133727,1.1444216111600396,0.7999999999999972,91971,,,,,
control_selected125_2013_2023,ridge_downweight,0.9887911304262824,1.6411272367861949,1.124005533108486,0.7573072585767073,90806,125.0,71.0,54.0,0.0103488720067564,0.0038591009904873
expanded_min10_2013_2023,ridge_downweight,0.988200241636966,1.6804433810295794,1.1336485439143855,0.7594096397368695,91971,132.0,74.0,58.0,0.013323450497476,0.0031809916628202
control_selected125_2013_2023,ridge_gated,0.9888100997010382,1.6397379719940863,1.1149691218917428,0.7316712267191603,90806,125.0,61.0,9.0,0.0193531762002283,0.0
expanded_min10_2013_2023,ridge_gated,0.9882177818900274,1.679193933238292,1.1246975635870478,0.7366265415527913,91971,132.0,62.0,9.0,0.0221953566423635,0.0
control_selected125_2013_2023,ridge_gated_station_month,0.9889132024725726,1.6321662886443884,1.1092506453441031,0.7236306032239463,90806,125.0,87.0,38.0,0.025087450277037,0.0111140266765121
expanded_min10_2013_2023,ridge_gated_station_month,0.9882712107678564,1.6753822829840606,1.1195947347989526,0.7292726420456317,91971,132.0,88.0,41.0,0.0235891641828863,0.009335971432165
control_selected125_2013_2023,ridge_global,0.9887959454128332,1.6407747099627563,1.122846767392545,0.7545930262787888,90806,125.0,75.0,50.0,0.011510892055681,0.0047756141463635
expanded_min10_2013_2023,ridge_global,0.98820236234422,1.680292365708108,1.1325982952426976,0.7573308942285217,91971,132.0,78.0,54.0,0.0141879629799925,0.0045201037009842
control_selected125_2013_2023,ridge_seasonal,0.9892310138106916,1.6086025594971591,1.1096508294560554,0.7522518260047688,90806,125.0,76.0,49.0,0.0246687536592286,0.0147872323671325
expanded_min10_2013_2023,ridge_seasonal,0.9886410394106806,1.6487568916124442,1.1195040891539438,0.7549944375935767,91971,132.0,80.0,52.0,0.0271883400375682,0.0145607167341196
control_selected125_2013_2023,ridge_soft_station,0.9883221623350694,1.675107033928671,1.1266290481801255,0.7156530877841303,90806,125.0,75.0,1.0,0.0077660937045106,0.0007080580117226
expanded_min10_2013_2023,ridge_soft_station,0.987696874109934,1.7159121975803775,1.136606851821414,0.7209038872282747,91971,132.0,77.0,3.0,0.0082299056223702,0.000447297441193
control_selected125_2013_2023,ridge_soft_station_month,0.9887134753188184,1.646802293617384,1.116881898366295,0.716737366694451,90806,125.0,109.0,16.0,0.0174835493204787,0.0029139994560882
expanded_min10_2013_2023,ridge_soft_station_month,0.988084636349953,1.688655186149148,1.1270070775870378,0.7227771414287041,91971,132.0,111.0,20.0,0.0173593394953173,0.0027403187206795
control_selected125_2013_2023,xgb_delta_clustered_v2,0.9895775426760638,1.58250979999845,1.0931779645136603,0.743158292770385,90806,125.0,80.0,45.0,0.0411217382948502,0.0110984418244055
expanded_min10_2013_2023,xgb_delta_clustered_v2,0.9889501113779152,1.6261712466613083,1.101517030193038,0.7398484587669394,91971,132.0,94.0,38.0,0.0417256497257419,0.0129126703673366
control_selected125_2013_2023,xgb_delta_clustered_v2_gated,0.989570773807021,1.583023597399144,1.089822322393344,0.7245634749531744,90806,125.0,65.0,9.0,0.0444642973754337,0.0043216587091345
expanded_min10_2013_2023,xgb_delta_clustered_v2_gated,0.988937216309302,1.6271198297774183,1.098886118975651,0.7250020980834961,91971,132.0,77.0,8.0,0.0443000382471132,0.0107997446024389
control_selected125_2013_2023,xgb_delta_gated,0.9895936048694736,1.5812899159310712,1.0864265915098723,0.7164805635809905,90806,125.0,81.0,7.0,0.0478067377561877,0.0152413664575448
expanded_min10_2013_2023,xgb_delta_gated,0.9889507918124324,1.6261211773746538,1.0969164235121938,0.7208329260349271,91971,132.0,82.0,7.0,0.0467008424033479,0.014271442361791
control_selected125_2013_2023,xgb_delta_gated_station_month,0.989505706640638,1.5879541023244084,1.0890861270338368,0.7098024345934384,90806,125.0,96.0,27.0,0.0451778859816446,0.0165479976186262
expanded_min10_2013_2023,xgb_delta_gated_station_month,0.988858052221542,1.6329311989937108,1.0999988140866248,0.7149464190006256,91971,132.0,101.0,26.0,0.0423888280306153,0.013642025521625
control_selected125_2013_2023,xgb_delta_global,0.9895903881446846,1.5815342936137295,1.0898767557555924,0.7335339054465306,90806,125.0,93.0,32.0,0.044371734431597,0.0172326866644498
expanded_min10_2013_2023,xgb_delta_global,0.988944612370721,1.6265758306088758,1.1005574113258871,0.7368354506790631,91971,132.0,95.0,37.0,0.0423999530930425,0.0162569831710702
control_selected125_2013_2023,xgb_gated,0.9894179224465046,1.594581845931584,1.096701091947376,0.7159884452819822,90806,125.0,50.0,11.0,0.0375620221275177,0.0
expanded_min10_2013_2023,xgb_gated,0.988838508237243,1.634362726030416,1.1020946768874602,0.7121974945068352,91971,132.0,62.0,7.0,0.0417774947201254,0.0
control_selected125_2013_2023,xgb_gated_station_month,0.989422944831118,1.5942033969097122,1.0959410577949016,0.7224704742431634,90806,125.0,84.0,37.0,0.0383434757470563,0.0061667534651568
expanded_min10_2013_2023,xgb_gated_station_month,0.9888056979522588,1.6367631469417947,1.1034392046535522,0.717814636230468,91971,132.0,94.0,33.0,0.0390153926847838,0.0099381339300601
