target_coverage,station_group,month,n,source_main,coverage,mean_width,wis_mean,crps_like
0.8,0,1,1984,group_month,0.7993951612903226,2.446610522270204,4.3120515373200305,0.43120515373200285
0.8,0,2,1792,group_month,0.8705357142857143,2.8000000000000003,3.9182579145533967,0.3918257914553397
0.8,0,3,1984,group_month,0.7883064516129032,2.1977721285819984,3.543496717770562,0.3543496717770561
0.8,0,4,1920,group_month,0.7786458333333334,1.8000000000000005,3.238691381305883,0.32386913813058815
0.8,0,5,1972,group_month,0.8199797160243407,2.0,2.9802962962214967,0.29802962962214974
0.8,0,6,1920,group_month,0.7651041666666667,1.7435937595367434,2.74093722684566,0.274093722684566
0.8,0,7,1922,group_month,0.7924037460978148,1.627491329908367,2.5763052805026647,0.2576305280502665
0.8,0,8,1922,group_month,0.7544224765868887,1.601847873926161,2.9090018764405654,0.2909001876440565
0.8,0,9,1854,group_month,0.7578209277238404,1.6000000000000003,2.882104435304487,0.28821044353044867
0.8,0,10,1922,group_month,0.8381893860561914,1.8615446543693568,2.7881931969741536,0.2788193196974153
0.8,0,11,1860,group_month,0.8075268817204301,2.0282352668046966,3.4619350960801656,0.34619350960801637
0.8,0,12,1922,group_month,0.8257023933402705,2.6826327013969404,4.192176590628072,0.41921765906280706
0.8,1,1,1891,group_month,0.8746694870438921,4.623597209453585,6.169478524588073,0.6169478524588073
0.8,1,2,1708,group_month,0.8881733021077284,4.292965419292447,5.648133542093433,0.5648133542093433
0.8,1,3,1899,group_month,0.8030542390731964,3.416055833101277,5.218410519542792,0.5218410519542791
0.8,1,4,1858,group_month,0.7653390742734123,2.8,4.703168277637165,0.47031682776371647
0.8,1,5,1894,group_month,0.8484688489968321,3.0,3.9077942116198807,0.39077942116198794
0.8,1,6,1860,group_month,0.817741935483871,2.399999999999999,3.4123537567176263,0.3412353756717626
0.8,1,7,1798,group_month,0.8464961067853171,2.238232943415646,2.9460385552417905,0.29460385552417906
0.8,1,8,1787,group_month,0.8662562954672636,2.3999999999999986,3.0181047102900256,0.3018104710290025
0.8,1,9,1710,group_month,0.8052631578947368,2.400000000000002,3.7747572317666367,0.37747572317666356
0.8,1,10,1767,group_month,0.8330503678551217,2.3999999999999995,3.40060849661183,0.340060849661183
0.8,1,11,1710,group_month,0.7953216374269005,3.239942700266838,5.6237208411291695,0.5623720841129168
0.8,1,12,1767,group_month,0.8262591963780419,4.2,6.425316351432466,0.6425316351432465
0.8,2,1,2046,group_month,0.7932551319648093,5.6000000000000005,8.719534843411015,0.8719534843411015
0.8,2,2,1844,group_month,0.8280911062906724,5.17808040738106,7.348585792792029,0.7348585792792028
0.8,2,3,2046,group_month,0.804496578690127,4.800000000000004,6.9214615864251785,0.6921461586425179
0.8,2,4,1980,group_month,0.8141414141414142,4.011145238876343,5.917814396842667,0.5917814396842666
0.8,2,5,2013,group_month,0.7501241927471436,3.138906037807465,5.235673757195584,0.5235673757195584
0.8,2,6,1974,group_month,0.7725430597771024,2.647594794034958,4.342634063810325,0.4342634063810325
0.8,2,7,2030,group_month,0.8216748768472907,2.5848694062232975,3.861758478757148,0.38617584787571474
0.8,2,8,2015,group_month,0.7707196029776675,2.4000000000000026,3.9685571051195203,0.39685571051195195
0.8,2,9,1957,group_month,0.7915176290240163,3.183562932014466,4.886355019147025,0.48863550191470245
0.8,2,10,2045,group_month,0.8053789731051345,3.7359764343500146,5.358544362640819,0.5358544362640819
0.8,2,11,1979,group_month,0.7635169277412834,4.56361020565033,7.464603013248354,0.7464603013248352
0.8,2,12,2043,group_month,0.8228095937347039,5.508517527580258,8.34974807280057,0.8349748072800568
0.8,3,1,2015,group_month,0.7880893300248138,6.799999999999996,11.74967759725564,1.1749677597255639
0.8,3,2,1820,group_month,0.8428571428571429,7.465617063045506,10.85210368353024,1.085210368353024
0.8,3,3,2015,group_month,0.8084367245657568,6.972599958181379,10.568097325686741,1.0568097325686743
0.8,3,4,1921,group_month,0.8162415408641333,5.435805809497835,7.828071311158059,0.7828071311158055
0.8,3,5,1978,group_month,0.7573306370070778,3.5954803919792173,5.887731352169689,0.5887731352169687
0.8,3,6,1920,group_month,0.790625,3.400000000000003,5.246678268460711,0.5246678268460708
0.8,3,7,1971,group_month,0.8599695585996956,3.6783809208869944,4.9030195561353205,0.490301955613532
0.8,3,8,1984,group_month,0.8775201612903226,3.8145058655738793,4.7470027304729685,0.4747002730472969
0.8,3,9,1916,group_month,0.8126304801670147,4.434355072975161,6.065378751690192,0.606537875169019
0.8,3,10,1960,group_month,0.7943877551020408,4.649232467412951,7.038348060583658,0.7038348060583656
0.8,3,11,1892,group_month,0.8398520084566596,7.0,9.389888535483827,0.9389888535483825
0.8,3,12,1984,group_month,0.8659274193548387,7.9333010578155525,10.376401313797627,1.0376401313797623
0.85,0,1,1984,group_month,0.8548387096774194,2.993469130396844,4.853481540427424,0.36401111553205684
0.85,0,2,1792,group_month,0.9051339285714286,3.2237787663936572,4.390195265370197,0.3292646449027648
0.85,0,3,1984,group_month,0.8341733870967742,2.4000000000000057,3.9438960466962,0.2957922035022151
0.85,0,4,1920,group_month,0.8380208333333333,2.199999999999999,3.5927535808865088,0.26945651856648817
0.85,0,5,1972,group_month,0.8625760649087221,2.386754869818688,3.2862699822280526,0.24647024866710396
0.85,0,6,1920,group_month,0.8390625,2.0,2.9919790915190894,0.22439843186393163
0.85,0,7,1922,group_month,0.8428720083246618,1.9357669165730507,2.82345810640204,0.21175935798015302
0.85,0,8,1922,group_month,0.8132154006243496,1.9522904610633847,3.187445688099541,0.2390584266074656
0.85,0,9,1854,group_month,0.8090614886731392,1.8367192086577415,3.197543378626162,0.2398157533969622
0.85,0,10,1922,group_month,0.8818938605619147,2.1999999999999997,3.1142204835544787,0.23356653626658597
0.85,0,11,1860,group_month,0.8596774193548387,2.4699389679729933,3.883358950447525,0.29125192128356436
0.85,0,12,1922,group_month,0.8605619146722164,3.197632524967192,4.6787305575446,0.3509047918158451
0.85,1,1,1891,group_month,0.8989952406134321,5.264995117411017,6.839072405463763,0.5129304304097821
0.85,1,2,1708,group_month,0.9127634660421545,4.97917425587773,6.33047162013102,0.47478537150982675
0.85,1,3,1899,group_month,0.8562401263823065,4.0,5.7299420824686385,0.4297456561851478
0.85,1,4,1858,group_month,0.8153928955866523,3.2698512730002385,5.14773958175324,0.38608046863149287
0.85,1,5,1894,group_month,0.882259767687434,3.399999999999998,4.241640642663515,0.31812304819976356
0.85,1,6,1860,group_month,0.8521505376344086,2.647853899002076,3.726531233548731,0.27948984251615483
0.85,1,7,1798,group_month,0.8971078976640712,2.6000000000000014,3.222770858346355,0.24170781437597674
0.85,1,8,1787,group_month,0.9115836597649692,2.8271173512935595,3.3388092290522917,0.2504106921789219
0.85,1,9,1710,group_month,0.8368421052631579,2.799999999999997,4.148340371424117,0.31112552785680897
0.85,1,10,1767,group_month,0.8794567062818336,2.8000000000000003,3.7442379966522625,0.28081784974891966
0.85,1,11,1710,group_month,0.8339181286549707,3.7554475663974873,6.295555017792509,0.47216662633443823
0.85,1,12,1767,group_month,0.8670062252405206,4.850660791397096,7.156558372214861,0.5367418779161146
0.85,2,1,2046,group_month,0.83088954056696,6.2595256835222175,9.594802049024509,0.7196101536768383
0.85,2,2,1844,group_month,0.8606290672451193,5.795180435180663,8.046946366898378,0.6035209775173784
0.85,2,3,2046,group_month,0.8509286412512219,5.500274540781973,7.522812931827827,0.5642109698870872
0.85,2,4,1980,group_month,0.854040404040404,4.561346036195756,6.499608050629589,0.48747060379721907
0.85,2,5,2013,group_month,0.8072528564331843,3.6482970379292965,5.691304591008914,0.4268478443256685
0.85,2,6,1974,group_month,0.8201621073961499,3.0,4.781184515279675,0.35858883864597557
0.85,2,7,2030,group_month,0.865024630541872,2.979656701087954,4.2805964501050395,0.32104473375787806
0.85,2,8,2015,group_month,0.8436724565756824,2.9521937051415446,4.336433403053243,0.3252325052289933
0.85,2,9,1957,group_month,0.8339294839039346,3.6000000000000005,5.35856566915818,0.4018924251868636
0.85,2,10,2045,group_month,0.8488997555012225,4.197760461866855,5.833730110489682,0.4375297582867263
0.85,2,11,1979,group_month,0.8271854471955533,5.394628965854645,8.157827637453906,0.6118370728090429
0.85,2,12,2043,group_month,0.8668624571708272,6.400000000000006,9.283876704084363,0.6962907528063275
0.85,3,1,2015,group_month,0.8392059553349875,7.849331649541856,13.157048008838425,0.9867786006628823
0.85,3,2,1820,group_month,0.8846153846153846,8.682720581293099,12.101205254922048,0.9075903941191539
0.85,3,3,2015,group_month,0.8669975186104218,8.200000000000003,11.691859618878196,0.8768894714158648
0.85,3,4,1921,group_month,0.8709005726184279,6.371320964116603,8.57977375901947,0.6434830319264603
0.85,3,5,1978,group_month,0.8190091001011123,4.187455466985703,6.423372189310772,0.48175291419830796
0.85,3,6,1920,group_month,0.83125,3.8773173809051467,5.744263567134476,0.4308197675350857
0.85,3,7,1971,group_month,0.8985286656519533,4.254395455121987,5.423848731284205,0.4067886548463154
0.85,3,8,1984,group_month,0.9178427419354839,4.521095176339145,5.280137664536913,0.39601032484026855
0.85,3,9,1916,group_month,0.8804801670146137,5.30227335512638,6.606651428227254,0.4954988571170442
0.85,3,10,1960,group_month,0.8489795918367347,5.4438467900455,7.663809588744628,0.5747857191558471
0.85,3,11,1892,group_month,0.8821353065539113,7.910427093878387,10.252418041003208,0.7689313530752406
0.85,3,12,1984,group_month,0.9133064516129032,9.600000000000005,11.64102128254931,0.8730765961911984
0.9,0,1,1984,group_month,0.8996975806451613,3.602320261001588,5.649591069468523,0.282479553473426
0.9,0,2,1792,group_month,0.9402901785714286,4.084197561740879,5.20049417138707,0.2600247085693534
0.9,0,3,1984,group_month,0.875,2.8000000000000003,4.521804710328503,0.22609023551642518
0.9,0,4,1920,group_month,0.8875,2.6000000000000014,4.143183937174035,0.2071591968587017
0.9,0,5,1972,group_month,0.902129817444219,2.6000000000000014,3.7095463596888902,0.18547731798444445
0.9,0,6,1920,group_month,0.8708333333333333,2.2338706192374276,3.373637228613951,0.1686818614306975
0.9,0,7,1922,group_month,0.9105098855359001,2.3776682329177907,3.1802221613494988,0.1590111080674749
0.9,0,8,1922,group_month,0.8896982310093653,2.3999999999999986,3.601778979863222,0.18008894899316108
0.9,0,9,1854,group_month,0.8635382955771306,2.2,3.625504341462331,0.1812752170731165
0.9,0,10,1922,group_month,0.9219562955254943,2.6,3.5667196608675233,0.1783359830433761
0.9,0,11,1860,group_month,0.896236559139785,2.800000000000001,4.516746542383716,0.22583732711918578
0.9,0,12,1922,group_month,0.913111342351717,3.8000000000000003,5.345492116666644,0.2672746058333322
0.9,1,1,1891,group_month,0.9465891062929667,6.692819555401805,7.96161586967333,0.3980807934836664
0.9,1,2,1708,group_month,0.9432084309133489,6.107277909517285,7.340962939989541,0.36704814699947697
0.9,1,3,1899,group_month,0.9004739336492891,4.61368598788977,6.427352891475494,0.32136764457377465
0.9,1,4,1858,group_month,0.8735199138858988,3.9367321056127556,5.7347480353495,0.28673740176747486
0.9,1,5,1894,group_month,0.9271383315733897,3.999999999999999,4.706224369843035,0.2353112184921517
0.9,1,6,1860,group_month,0.9118279569892473,3.233189767599103,4.154573709673938,0.2077286854836969
0.9,1,7,1798,group_month,0.9354838709677419,3.031104025840755,3.5894682151077504,0.1794734107553875
0.9,1,8,1787,group_month,0.9418019026301063,3.2278845942020395,3.708046553468046,0.18540232767340226
0.9,1,9,1710,group_month,0.8824561403508772,3.1999999999999993,4.662592042815105,0.2331296021407552
0.9,1,10,1767,group_month,0.9332201471420487,3.3999999999999995,4.241315548369439,0.21206577741847185
0.9,1,11,1710,group_month,0.8818713450292398,4.593626947700976,7.228839846932173,0.3614419923466086
0.9,1,12,1767,group_month,0.9122807017543859,5.749720177650452,8.23060658496082,0.41153032924804095
0.9,2,1,2046,group_month,0.8724340175953079,7.200000000000002,10.80042786331645,0.5400213931658224
0.9,2,2,1844,group_month,0.9050976138828634,6.862801039218899,8.975773742864588,0.4487886871432292
0.9,2,3,2046,group_month,0.8983382209188661,6.387219208478925,8.327629551634999,0.4163814775817499
0.9,2,4,1980,group_month,0.897979797979798,5.211809875369072,7.317030135410075,0.3658515067705037
0.9,2,5,2013,group_month,0.8708395429706905,4.399999999999999,6.265854216136237,0.3132927108068116
0.9,2,6,1974,group_month,0.8860182370820668,3.6001153409481077,5.3786413824406525,0.2689320691220326
0.9,2,7,2030,group_month,0.9201970443349754,3.6918412959575653,4.901163577033033,0.2450581788516516
0.9,2,8,2015,group_month,0.8883374689826302,3.399999999999999,4.878749110380988,0.24393745551904936
0.9,2,9,1957,group_month,0.8768523249872253,4.1312262901663805,6.0085322780872135,0.3004266139043605
0.9,2,10,2045,group_month,0.9070904645476773,5.0,6.4945584740546645,0.3247279237027332
0.9,2,11,1979,group_month,0.886811520970187,6.404515296593309,9.114406136879454,0.4557203068439727
0.9,2,12,2043,group_month,0.9138521781693588,7.824410915374756,10.58872165830329,0.5294360829151643
0.9,3,1,2015,group_month,0.8813895781637717,9.025112169086936,15.35250935829695,0.7676254679148474
0.9,3,2,1820,group_month,0.9137362637362637,9.888833383321757,13.81068135520423,0.6905340677602113
0.9,3,3,2015,group_month,0.9062034739454095,9.4,13.294383000889358,0.6647191500444677
0.9,3,4,1921,group_month,0.9125455491931286,7.405437786504624,9.63447295941232,0.48172364797061584
0.9,3,5,1978,group_month,0.8634984833164813,4.764834703207015,7.2075784659980915,0.36037892329990456
0.9,3,6,1920,group_month,0.8890625,4.600000000000002,6.39908395908169,0.31995419795408453
0.9,3,7,1971,group_month,0.9386098427194317,5.075995298177006,6.170187616913052,0.30850938084565255
0.9,3,8,1984,group_month,0.9526209677419355,5.4752341616153695,6.000368450138747,0.3000184225069374
0.9,3,9,1916,group_month,0.930062630480167,6.213973668813706,7.318935820557458,0.36594679102787275
0.9,3,10,1960,group_month,0.9071428571428571,6.666257600784301,8.5234801034732,0.4261740051736599
0.9,3,11,1892,group_month,0.9349894291754757,9.662801831960678,11.654506357971,0.58272531789855
